"PA_ID","PA","Cluster","Current_Percolation_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Cluster A — South, Kunene South & Erongo","Cluster A — South, Kunene South & Erongo",96253693.8480077,92542976.3296888,113395487.094338,20852510.7646489,22.5327859462406
2,"Cluster C — Kavango East, Kavango West & Zambezi","Cluster C — Kavango East, Kavango West & Zambezi",86640489.1839743,82486193.8359228,102404662.163962,19918468.3280397,24.1476390190344
3,"Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",477929585.837116,451551547.591289,561936707.393556,110385159.802268,24.4457494146782
4,"Cluster E — Kunene (North)","Cluster E — Kunene (North)",237451553.747059,232445024.768095,286936406.695733,54491381.9276377,23.442696604069
5,"Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",107931952.560077,105330900.787512,130251958.570293,24921057.7827814,23.659778466203
6,"Cluster F —    //Karas,Hardap","Cluster F —    //Karas,Hardap",23254210.2516947,20616389.8261478,25873630.7054672,5257240.87931943,25.5002981785476
