"PA_ID","PA","Cluster","Current_Percolation_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Cluster A — South, Kunene South & Erongo","Cluster A — South, Kunene South & Erongo",96253693.8480077,120296394.810192,98189689.4937741,112726831.508812,91994110.9242763,116572275.284715,95168668.206338,103986446.773631,84819436.6943667,113395487.094338,92542976.3296888,20852510.7646489,22.5327859462406
2,"Cluster C — Kavango East, Kavango West & Zambezi","Cluster C — Kavango East, Kavango West & Zambezi",86640489.1839743,102961756.084908,82952432.9074589,103093215.442371,83037398.303187,103755400.797099,83561015.1950065,99808276.3314723,80393928.9380388,102404662.163962,82486193.8359228,19918468.3280397,24.1476390190344
3,"Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",477929585.837116,581485617.168136,467257356.838416,564532290.95161,453635277.724045,562547711.762029,452045475.94184,539181209.692449,433268079.860853,561936707.393556,451551547.591289,110385159.802268,24.4457494146782
4,"Cluster E — Kunene (North)","Cluster E — Kunene (North)",237451553.747059,301416637.379712,244186599.512113,282785310.537709,229048912.631497,291651875.855688,236315322.793871,271891803.009823,220229264.1349,286936406.695733,232445024.768095,54491381.9276377,23.442696604069
5,"Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",107931952.560077,134581532.44712,108842467.153873,130323892.493201,105385580.717829,129389565.669817,104631721.170525,126712843.671036,102463834.107821,130251958.570293,105330900.787512,24921057.7827814,23.659778466203
6,"Cluster F —    //Karas,Hardap","Cluster F —    //Karas,Hardap",23254210.2516947,27456372.5749722,21878861.2593121,26407167.4425314,21043485.3380317,26275709.5512249,20935228.5354601,23355273.2531402,18607984.1717871,25873630.7054672,20616389.8261478,5257240.87931943,25.5002981785476
