PA_ID;PA;Cluster;Current_Runoff_Retention_m3;SSP245_2050_With_Intervention_m3;SSP245_2050_Without_Intervention_m3;SSP245_2090_With_Intervention_m3;SSP245_2090_Without_Intervention_m3;SSP585_2050_With_Intervention_m3;SSP585_2050_Without_Intervention_m3;SSP585_2090_With_Intervention_m3;SSP585_2090_Without_Intervention_m3;Mean_With_Intervention_m3;Mean_Without_Intervention_m3;Intervention_Change_m3;Intervention_Change_pct
1;Cluster A — South, Kunene South & Erongo;Cluster A — South, Kunene South & Erongo;4523923710.3051;4663972481.83929;4614915484.47393;4369701229.04278;4323723318.70776;4520438379.03475;4472927506.19243;4028980393.13429;3986513639.68884;4395773120.76278;4349519987.26574;46253133.497035;1.06340776987925
2;Cluster C — Kavango East, Kavango West & Zambezi;Cluster C — Kavango East, Kavango West & Zambezi;4072102953.03927;3942558999.12345;3898764403.31454;3946572033.17468;3902757789.99138;3971883589.82896;3927367768.38412;3821270606.48774;3778514806.14054;3920571307.15371;3876851191.95764;43720115.196063;1.12772229397813
3;Cluster B — Omaheke & Otjozondjupa (Central / Group 4);Cluster B — Omaheke & Otjozondjupa (Central / Group 4);22462691975.2955;22224424068.5291;21961096930.0432;21576472510.1721;21320858843.2406;21500879685.3962;21246138138.7855;20607729281.0695;20363600168.4106;21477376386.2917;21222923520.12;254452866.171749;1.1989529431726
4;Cluster E — Kunene (North);Cluster E — Kunene (North);11160223066.6198;11606123017.1747;11476770217.7437;10886712150.6804;10765299003.4166;11231917353.0955;11106820272.3137;10467507626.3152;10350775539.261;11048065036.8165;10924916258.1838;123148778.632713;1.12722858209978
5;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;Cluster D — Omusati, Oshana, Oshikoto & Ohangwena;5072801737.74938;5173006413.56513;5115595954.16003;5008670961.47036;4953122224.37646;4972906693.08337;4917690820.89209;4869810383.27425;4815800093.40609;5006098612.84828;4950552273.20867;55546339.6396112;1.12202309104413
6;Cluster F —    //Karas,Hardap;Cluster F —    //Karas,Hardap;1092947886.49461;1040692664.02283;1028306490.86669;1000957328.00896;989043823.495605;995813813.529479;983955752.0566;885118792.693354;874575271.573931;980645649.563657;968970334.498206;11675315.0654511;1.20491976377144
