"PA_ID","PA","Cluster","Current_Habitat_Quality","SSP245_2050_With_Intervention_HQ","SSP245_2050_Without_Intervention_HQ","SSP245_2090_With_Intervention_HQ","SSP245_2090_Without_Intervention_HQ","SSP585_2050_With_Intervention_HQ","SSP585_2050_Without_Intervention_HQ","SSP585_2090_With_Intervention_HQ","SSP585_2090_Without_Intervention_HQ","Mean_With_Intervention_HQ","Mean_Without_Intervention_HQ","Intervention_Change","Intervention_Change_pct"
1,"Okanguati","Cluster E — Kunene (North)",0.225237816919324,0.214561188557771,0.227551082890733,0.211740079251748,0.221773235409889,0.211585649096193,0.22152614308851,0.211740079251748,0.221773235409889,0.212406749039365,0.223155924199755,-0.0107491751603902,-4.81688989388791
2,"Iipumbu ya Tshilongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",0.206341268737359,0.206425111119771,0.207764671662594,0.205183925852884,0.206065595594975,0.204722240253477,0.205461318663704,0.205183925852884,0.206065595594975,0.205378800769754,0.206339295379062,-0.000960494609307389,-0.465492822170825
3,"Otjitanda","Cluster E — Kunene (North)",0.199720449433805,0.201310344316888,0.20398511783465,0.199288231434955,0.199668619595976,0.198746446141263,0.198901229312088,0.199288231434955,0.199668619595976,0.199658313332015,0.200555896584672,-0.000897583252657208,-0.447547675207973
4,"Orupupa","Cluster A — South, Kunene South & Erongo",0.220558609286843,0.216188076052044,0.222531188925808,0.212299367698899,0.216897952345973,0.212099578685621,0.216725508131066,0.212299367698899,0.216897952345973,0.213221597533866,0.218263150437205,-0.0050415529033391,-2.30985069776567
5,"Omuramba ua Mbinda","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227986346210369,0.211352241059004,0.228026404976845,0.209158091413517,0.221927836537361,0.209158091413517,0.221927836537361,0.209158091413517,0.221927836537361,0.209706628824889,0.223452478647232,-0.0137458498223434,-6.15157634659503
6,"Otjombinde","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227829117588276,0.211312766967036,0.228003648619597,0.209132943655689,0.221922027292923,0.209127860566806,0.221910408804047,0.209132943655689,0.221922027292923,0.209676628711305,0.223439528002373,-0.0137628992910677,-6.15956335663291
7,"Bamunu","Cluster C — Kavango East, Kavango West & Zambezi",0.222953289586462,0.222045116269382,0.223740973079756,0.22361918760124,0.224932353651008,0.223870331114184,0.224803354559299,0.223983984640962,0.224932353651008,0.223379654906442,0.224602258735268,-0.00122260382882586,-0.544341733565069
8,"Mashi","Cluster C — Kavango East, Kavango West & Zambezi",0.227829392457878,0.226951586150274,0.228849791448109,0.226232594802088,0.22781477154485,0.226476631413286,0.227694809915948,0.226458257096076,0.22781477154485,0.226529767365431,0.228043536113439,-0.00151376874800807,-0.663806908894385
9,"Ovitoto","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",0.227837049400858,0.211581606227006,0.228026404976845,0.209333748480947,0.221927836537361,0.209333748480947,0.221927836537361,0.209333748480947,0.221927836537361,0.209895712917462,0.223452478647232,-0.0135567657297703,-6.06695697082535
10,"Salambala","Cluster C — Kavango East, Kavango West & Zambezi",0.223067136572613,0.225151610276928,0.22501621946738,0.228825487344617,0.226342079237165,0.229787278235638,0.226276373528521,0.2297215940866,0.226342079237165,0.228371492485946,0.225994187867558,0.00237730461838789,1.05193175135154
