"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Cluster A — South, Kunene South & Erongo","Cluster A — South, Kunene South & Erongo",288761098.889159,245512075.59644,294569084.63261,230004426.818328,275982349.305134,237995131.496459,285506021.073109,211991549.772863,254458326.618174,231375795.921022,277628945.407257,-46253149.4862345,-16.6600602175631
2,"Cluster C — Kavango East, Kavango West & Zambezi","Cluster C — Kavango East, Kavango West & Zambezi",259921469.1563,204994429.067469,248857309.125788,205297930.106017,249112205.88183,206099832.494843,250683056.279931,198425978.934851,241181804.14582,203704542.650795,247458593.858342,-43754051.2075473,-17.6813625768012
3,"Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",1433788906.58913,1138444924.94889,1401772198.57235,1105292125.02699,1360905941.43008,1101394856.07447,1356136536.21326,1055675052.73918,1299804321.34568,1100201739.69738,1354654749.39034,-254453009.692959,-18.7836059193293
4,"Cluster E — Kunene (North)","Cluster E — Kunene (North)",712354690.365012,603206977.946897,732559829.316426,565733578.027062,687146769.546203,583848869.412133,708946000.81891,543955694.56836,660687823.926327,574186279.988613,697335105.901966,-123148825.913354,-17.6599205849628
5,"Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",323795870.743234,269116946.82346,326527416.481195,260570299.45918,316156751.871131,258679285.363152,313895172.3246,253344162.648832,307391508.361504,260427673.573656,315992712.259608,-55565038.6859515,-17.5842785387726
6,"Cluster F —    //Karas,Hardap","Cluster F —    //Karas,Hardap",69762633.8918947,53250410.0574263,65636586.6946642,51216956.4568653,63130459.3583738,50947631.8085906,62805688.8774556,45280435.3038603,55823955.6991035,50173858.4066856,61849172.6573993,-11675314.2507137,-18.8770742583521
