"PA_ID","PA","Cluster","Current_Runoff_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Cluster A — South, Kunene South & Erongo","Cluster A — South, Kunene South & Erongo",288761098.889159,277628945.407257,231375795.921022,-46253149.4862345,-16.6600602175631
2,"Cluster C — Kavango East, Kavango West & Zambezi","Cluster C — Kavango East, Kavango West & Zambezi",259921469.1563,247458593.858342,203704542.650795,-43754051.2075473,-17.6813625768012
3,"Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",1433788906.58913,1354654749.39034,1100201739.69738,-254453009.692959,-18.7836059193293
4,"Cluster E — Kunene (North)","Cluster E — Kunene (North)",712354690.365012,697335105.901966,574186279.988613,-123148825.913354,-17.6599205849628
5,"Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",323795870.743234,315992712.259608,260427673.573656,-55565038.6859515,-17.5842785387726
6,"Cluster F —    //Karas,Hardap","Cluster F —    //Karas,Hardap",69762633.8918947,61849172.6573993,50173858.4066856,-11675314.2507137,-18.8770742583521
