"unit_id","unit","species","feeding_regime","forage_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Cluster_4","Cluster E — Kunene (North)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",973357,918957,2230524,871199,2124064,889681,2164018,825489,2011795,0,-54400,1257167,-102158,1150706,-83676,1190661,-147869,1038437,0,-5.58891403426027,129.157786203028,-10.4954633299998,118.220346575185,-8.59665675284519,122.325153301502,-15.1916187985606,106.686122113448
"Cluster_4","Cluster E — Kunene (North)","Goats","Browser-Mixed","Goat_Browser_Mixed",1637859,1597670,1864495,1524073,1777228,1546521,1808094,1446464,1684218,0,-40189,226636,-113786,139368,-91339,170235,-191395,46358,0,-2.45377836278849,13.8373093725002,-6.94726929109928,8.50917244156559,-5.57671541924235,10.3937385340678,-11.6856923526376,2.83041660031846
"Cluster_4","Cluster E — Kunene (North)","Donkeys","Grazer","Donkey_Grazer",374778,351773,961410,332853,915378,340808,932906,315078,866853,0,-23005,586632,-41925,540600,-33969,558129,-59700,492075,0,-6.13818229200572,156.52796217517,-11.1866537431345,144.245387104221,-9.06389852325186,148.92250605024,-15.9293111679374,131.297756346189
"Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cattle","Grazer","Cattle_Grazer",64894,62185,89103,59824,86367,59956,86293,56960,82223,0,-2709,24209,-5070,21473,-4938,21399,-7934,17329,0,-4.17379540251048,37.3051410117207,-7.81279089670967,33.0893522371656,-7.60874253256232,32.9755322399,-12.2259794070513,26.7031377066373
"Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",600720,580119,738611,559143,715720,559383,714795,532403,681412,0,-20600,137891,-41576,115000,-41337,114075,-68317,80693,0,-3.42928232265045,22.9543503595297,-6.92106314193281,19.1437218102453,-6.88117941130901,18.9897222486916,-11.3725248040566,13.4326859880849
"Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Goats","Browser-Mixed","Goat_Browser_Mixed",748257,735757,699099,711984,676091,709618,674360,677998,643813,0,-12499,-49158,-36273,-72166,-38639,-73897,-70259,-104444,0,-1.67047468842653,-6.56965173889381,-4.84761430638981,-9.64453352506928,-5.16386091291049,-9.87584091260346,-9.38964522553174,-13.9583359662962
"Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Donkeys","Grazer","Donkey_Grazer",233289,225306,306095,217066,296761,217239,296385,206679,282526,0,-7984,72805,-16223,63471,-16050,63095,-26610,49236,0,-3.42228426510466,31.2080933283358,-6.9540300218645,27.2070050558676,-6.88000387191174,27.0459110247267,-11.4064523736808,21.1051636983051
"Cluster_6","Cluster F —    //Karas,Hardap","Cattle","Grazer","Cattle_Grazer",28845,26152,37754,24939,36187,25197,36402,22505,32682,0,-2693,8908,-3907,7341,-3648,7557,-6340,3837,0,-9.33740516467859,30.8837260279209,-13.5437230994887,25.4508866664079,-12.6469930920304,26.1967201505263,-21.9799079456371,13.3021080506951
"Cluster_6","Cluster F —    //Karas,Hardap","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",235860,212437,295503,202531,283189,204716,284938,182756,255749,0,-23424,59643,-33330,47329,-31145,49078,-53104,19889,0,-9.93114037935804,25.2874369303565,-14.1310683810293,20.066479304905,-13.2046500711559,20.8079907629589,-22.5149423039023,8.43233041201545
"Cluster_6","Cluster F —    //Karas,Hardap","Goats","Browser-Mixed","Goat_Browser_Mixed",212110,186844,226735,177972,217130,180154,218680,160559,196040,0,-25266,14625,-34138,5020,-31956,6570,-51551,-16070,0,-11.9117276076672,6.89489698745648,-16.0944745678007,2.36683576797278,-15.0657583604202,3.09751637541265,-24.3038557809423,-7.5760678129916
"Cluster_6","Cluster F —    //Karas,Hardap","Donkeys","Grazer","Donkey_Grazer",103590,94125,130423,89887,125090,90707,125761,81130,112983,0,-9465,26833,-13703,21500,-12883,22171,-22460,9393,0,-9.1369506308885,25.9029513352229,-13.2281007121428,20.7547746510862,-12.4369147133449,21.4030418121762,-21.6813123017594,9.06734203023948
