"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2090",251654.49542892,280239.034788424,28584.5393595039,11.3586444425658,251654,280239,28585
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2090",389209.909365299,378060.288473751,-11149.6208915478,-2.86468063203476,389210,378060,-11150
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Donkeys","Grazer","Donkey_Grazer","SSP245_2090",88675.7986551056,103803.571689949,15127.7730348436,17.0596411470523,88676,103804,15128
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cattle","Grazer","Cattle_Grazer","SSP245_2090",134099.795796743,431733.359922239,297633.564125496,221.949304513949,134100,431733,297634
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2090",1644814.10942881,3408855.10749615,1764040.99806734,107.248654298079,1644814,3408855,1764041
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2090",3109782.01288101,2710838.91610078,-398943.096780232,-12.8286514980076,3109782,2710839,-398943
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Donkeys","Grazer","Donkey_Grazer","SSP245_2090",557513.89098329,1453701.14976886,896187.258785573,160.747072544679,557514,1453701,896187
"Cluster","Cluster_4","Cluster E — Kunene (North)","Cattle","Grazer","Cattle_Grazer","SSP245_2090",76006.586263634,265327.718309038,189321.132045404,249.085166631128,76007,265328,189321
"Cluster","Cluster_4","Cluster E — Kunene (North)","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2090",871198.988906513,2124063.78903531,1252864.80012879,143.809257825394,871199,2124064,1252865
"Cluster","Cluster_4","Cluster E — Kunene (North)","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2090",1524072.80827244,1777227.57737959,253154.769107153,16.6104117685892,1524073,1777228,253155
"Cluster","Cluster_4","Cluster E — Kunene (North)","Donkeys","Grazer","Donkey_Grazer","SSP245_2090",332852.763633829,915377.649067803,582524.885433974,175.009778820646,332853,915378,582525
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cattle","Grazer","Cattle_Grazer","SSP245_2090",59823.9722063041,86367.0110705959,26543.0388642918,44.3685664548613,59824,86367,26543
"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2090",559143.473753605,715719.76150198,156576.287748375,28.0028821041687,559143,715720,156576
