"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,307252937.617386,748256.773497439,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",748256.773497439,0,0,748257,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,229906768.798064,233289.466055874,"Forage-limited potential livestock carrying capacity",1422473.1935077,1421564.53049095,908.663016745588,0.0638790959923049,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Current","Current","Current",233289.466055874,0,0,233289,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,104232227.300452,28845.2268715794,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",28845.2268715794,0,0,28845,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,107611194.462526,235860.152246633,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",235860.152246633,0,0,235860,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,87097616.3215866,212109.872320454,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",212109.872320454,0,0,212110,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,102087925.894053,103589.98061294,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","Current","Current","Current",103589.98061294,0,0,103590,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,106053183.646948,29349.1583359479,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",33470.3317783356,-4121.17344238764,-12.3129148216426,29349,-4121
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,145079413.515959,317982.276199362,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",348550.070641285,-30567.7944419225,-8.76998658634093,317982,-30568
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,212005140.556722,516298.668022459,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",534558.766796393,-18260.0987739346,-3.41591980304939,516299,-18260
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,135860887.424238,137859.855326472,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",151327.117173194,-13467.2618467216,-8.89943725770467,137860,-13467
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,84927786.6116838,23502.9159019465,"Forage-limited potential livestock carrying capacity",783233.539348635,783112.023568523,121.515780112008,0.0155146292909091,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",26179.2908248749,-2676.37492292832,-10.2232521913286,23503,-2676
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,116936636.213844,256299.476633084,"Forage-limited potential livestock carrying capacity",783233.539348635,783112.023568523,121.515780112008,0.0155146292909091,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",276205.079904526,-19905.6032714423,-7.20682012015235,256299,-19906
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,161438001.667708,393151.906648908,"Forage-limited potential livestock carrying capacity",783233.539348635,783112.023568523,121.515780112008,0.0155146292909091,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",408036.087843938,-14884.1811950302,-3.64776097959329,393152,-14884
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,89282966.2964919,90596.6172465672,"Forage-limited potential livestock carrying capacity",783233.539348635,783112.023568523,121.515780112008,0.0155146292909091,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",98888.8277969702,-8292.210550403,-8.38538663581678,90597,-8292
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,504589332.569831,139640.053291775,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",151705.245023046,-12065.1917312702,-7.95304851156423,139640,-12065
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,778362380.347429,1705999.73774779,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",1815077.5955624,-109077.857814613,-6.00954240641237,1706000,-109078
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,1319051376.45549,3212301.67782159,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",3343252.82188341,-130951.144061828,-3.91687829304086,3212302,-130951
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,570887916.853099,579287.586862607,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",622096.564613485,-42808.9777508781,-6.8814039790552,579288,-42809
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,291182674.121799,80581.8940422856,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",87602.6911852213,-7020.79714293564,-8.01436239908582,80582,-7021
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,419274244.05918,918957.247252997,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",973357.352955851,-54400.1057028539,-5.58891403426027,918957,-54400
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,656043189.363316,1597669.86755145,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",1637859.30478519,-40189.437233737,-2.45377836278849,1597670,-40189
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,346672604.09384,351773.317193141,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",374777.86578512,-23004.5485919792,-6.13818229200572,351773,-23005
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,224707167.403336,62185.4621290538,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422382.14716143,91.0463462725747,0.00640056675149442,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",64894.0051317476,-2708.5430026938,-4.17379540251048,62185,-2709
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,264679424.988698,580119.287646461,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422382.14716143,91.0463462725747,0.00640056675149442,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",600719.660782357,-20600.3731358951,-3.42928232265045,580119,-20600
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,302120355.065041,735757.333491727,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422382.14716143,91.0463462725747,0.00640056675149442,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",748256.773497439,-12499.4400057117,-1.67047468842653,735757,-12499
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,222038705.625077,225305.637366897,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422382.14716143,91.0463462725747,0.00640056675149442,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",233289.466055874,-7983.82868897685,-3.42228426510466,225306,-7984
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,94499641.9252403,26151.8311679093,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",28845.2268715794,-2693.39570367011,-9.33740516467859,26152,-2693
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,96924175.6765487,212436.549428052,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",235860.152246633,-23423.6028185807,-9.93114037935804,212437,-23424
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,76722785.5125881,186843.922100671,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",212109.872320454,-25265.9502197833,-11.9117276076672,186844,-25266
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,92760202.5050152,94125.0152257891,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","Without_Intervention","SSP245_2050_Without_Intervention",103589.98061294,-9464.96538715134,-9.1369506308885,94125,-9465
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,332277200.380273,91954.3933527806,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",33470.3317783356,58484.061574445,174.734035986761,91954,58484
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,345609506.109867,757500.287364091,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",348550.070641285,408950.216722807,117.328972554903,757500,408950
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,286523229.139783,697773.465180598,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",534558.766796393,163214.698384204,30.5326015626586,697773,163215
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,328067148.776301,332894.113420905,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",151327.117173194,181566.996247711,119.983119773509,332894,181567
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,102719319.253444,28426.5446944636,"Forage-limited potential livestock carrying capacity",783233.539348635,783028.13045805,205.408890584251,0.0262257526350412,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",26179.2908248749,2247.25386958879,8.5840899381946,28427,2247
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,128991242.460496,282720.531420265,"Forage-limited potential livestock carrying capacity",783233.539348635,783028.13045805,205.408890584251,0.0262257526350412,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",276205.079904526,6515.45151573874,2.35891806117067,282721,6515
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,156725970.050094,381676.639391401,"Forage-limited potential livestock carrying capacity",783233.539348635,783028.13045805,205.408890584251,0.0262257526350412,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",408036.087843938,-26359.4484525371,-6.46007773278592,381677,-26359
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,103203890.712412,104722.365004984,"Forage-limited potential livestock carrying capacity",783233.539348635,783028.13045805,205.408890584251,0.0262257526350412,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",98888.8277969702,5833.53720801375,5.89908621425936,104722,5834
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,1612632745.10269,446279.990342517,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",151705.245023046,294574.745319472,194.175715727378,446280,294575
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,1607560956.89147,3523421.27537857,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",1815077.5955624,1708343.67981617,94.1195948863464,3523421,1708344
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,1150281828.11704,2801295.16740831,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",3343252.82188341,-541957.654475101,-16.2104897041496,2801295,-541958
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,1480808724.08269,1502596.37146899,"Forage-limited potential livestock carrying capacity",5946321.81049356,5943714.64830331,2607.16219025292,0.0438449561483877,"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",622096.564613485,880499.806855504,141.537480986182,1502596,880500
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,1007078215.31374,278698.828092912,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",87602.6911852213,191096.136907691,218.139573479141,278699,191096
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,1017676648.85685,2230524.16187802,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",973357.352955851,1257166.80892217,129.157786203028,2230524,1257167
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,765608244.541007,1864494.9638746,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",1637859.30478519,226635.659089408,13.8373093725002,1864495,226636
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,947469576.466321,961410.021782162,"Forage-limited potential livestock carrying capacity",5126424.88987576,5126420.33986736,4.55000840686262,8.87559752576982e-05,"Cluster","Cluster_4","Cluster E — Kunene (North)","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",374777.86578512,586632.155997042,156.52796217517,961410,586632
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,321972986.78641,89102.8052542993,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422357.15426626,116.039241438033,0.00815756964473194,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",64894.0051317476,24208.8001225517,37.3051410117207,89103,24209
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,336991248.856093,738610.956396917,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422357.15426626,116.039241438033,0.00815756964473194,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",600719.660782357,137891.29561456,22.9543503595297,738611,137891
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,287067489.658403,699098.909365974,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422357.15426626,116.039241438033,0.00815756964473194,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",748256.773497439,-49157.8641314652,-6.56965173889381,699099,-49158
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,301656287.772725,306094.660347768,"Forage-limited potential livestock carrying capacity",1422473.1935077,1422357.15426626,116.039241438033,0.00815756964473194,"Cluster","Cluster_5","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",233289.466055874,72805.1942918934,31.2080933283358,306095,72805
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,136423022.812724,37753.7077107302,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",28845.2268715794,8908.4808391508,30.8837260279209,37754,8908
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,134823307.392241,295503.139489843,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",235860.152246633,59642.9872432101,25.2874369303565,295503,59643
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,93102907.2454901,226734.629517175,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",212109.872320454,14624.7571967208,6.89489698745648,226735,14625
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,128531711.657528,130422.842879277,"Forage-limited potential livestock carrying capacity",797331.445462821,797331.445462821,0,0,"Cluster","Cluster_6","Cluster F —    //Karas,Hardap","SSP245_2050","With_Intervention","SSP245_2050_With_Intervention",103589.98061294,26832.8622663368,25.9029513352229,130423,26833
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,99234430.2279992,27462.1364959179,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2090","Without_Intervention","SSP245_2090_Without_Intervention",33470.3317783356,-6008.1952824177,-17.9508088602415,27462,-6008
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,136879613.34567,300010.111442564,"Forage-limited potential livestock carrying capacity",2738207.08076389,2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","SSP245_2090","Without_Intervention","SSP245_2090_Without_Intervention",348550.070641285,-48539.9591987209,-13.9262514305087,300010,-48540
