"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2090","Without_Intervention","Browser-Mixed",1,389210,389210,-4.61385133313004,-4.61385133313004
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2090","Without_Intervention","Grazer",2,55781,55781,-11.4525567944126,-11.4525567944126
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP245_2090","Without_Intervention","Grazer-Mixed",1,251654,251654,-8.888534738062,-8.888534738062
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","With_Intervention","Browser-Mixed",1,376183,376183,-7.80635926762234,-7.80635926762234
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","With_Intervention","Grazer",2,64974,64974,4.75118920066822,4.75118920066822
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","With_Intervention","Grazer-Mixed",1,276405,276405,0.0724311423036276,0.0724311423036276
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","Without_Intervention","Browser-Mixed",1,390749,390749,-4.23659222105946,-4.23659222105946
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","Without_Intervention","Grazer",2,56860,56860,-9.59286441209004,-9.59286441209004
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2050","Without_Intervention","Grazer-Mixed",1,255311,255311,-7.56460036866795,-7.56460036866795
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","With_Intervention","Browser-Mixed",1,354260,354260,-13.179362774565,-13.179362774565
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","With_Intervention","Grazer",2,60832,60832,-1.99928328188965,-1.99928328188965
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","With_Intervention","Grazer-Mixed",1,259215,259215,-6.15130431616029,-6.15130431616029
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","Without_Intervention","Browser-Mixed",1,368374,368374,-9.72035648604409,-9.72035648604409
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","Without_Intervention","Grazer",2,52827,52827,-16.1388269186812,-16.1388269186812
"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","SSP585_2090","Without_Intervention","Grazer-Mixed",1,238303,238303,-13.7223691667345,-13.7223691667345
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Browser-Mixed",1,3343253,3343253,0,0
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Grazer",2,386901,386901,0,0
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Current","Current","Grazer-Mixed",1,1815078,1815078,0,0
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","Browser-Mixed",1,2801295,2801295,-16.2104897041496,-16.2104897041496
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","Grazer",2,974438,974438,167.85659835678,167.85659835678
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","With_Intervention","Grazer-Mixed",1,3523421,3523421,94.1195948863464,94.1195948863464
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","Browser-Mixed",1,3212302,3212302,-3.91687829304086,-3.91687829304086
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","Grazer",2,359464,359464,-7.41722624530972,-7.41722624530972
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2050","Without_Intervention","Grazer-Mixed",1,1706000,1706000,-6.00954240641237,-6.00954240641237
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","With_Intervention","Browser-Mixed",1,2710839,2710839,-18.9161256858332,-18.9161256858332
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","With_Intervention","Grazer",2,942717,942717,159.132351468442,159.132351468442
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","With_Intervention","Grazer-Mixed",1,3408855,3408855,87.8076791774799,87.8076791774799
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","Without_Intervention","Browser-Mixed",1,3109782,3109782,-6.98334291305182,-6.98334291305182
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","Without_Intervention","Grazer",2,345807,345807,-10.9932457026736,-10.9932457026736
"Cluster","Cluster_3","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","SSP245_2090","Without_Intervention","Grazer-Mixed",1,1644814,1644814,-9.38050728794511,-9.38050728794511
