"PA_ID","PA","Cluster","Current_Runoff_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
22,"/Audi","Cluster E — Kunene (North)",5120373.13310842,3972776.54507695,5057362.32147289,3767393.1139219,4795891.11174488,3795494.50745541,4831718.61284261,3492474.38528238,4445980.04081777,3757034.63793416,4782738.02171953,-1025703.38378537,-21.445945379559
23,"Uukolonkadhi Ruacana","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",60581632.453735,51009078.6152339,61684206.8573142,49074398.721236,59339837.4078743,48974258.6578058,59226297.7286079,48023953.8756053,58070539.3128987,49270422.4674702,59580220.3266738,-10309797.8592035,-17.3040613187996
24,"Uukwaluudhi","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",28262778.0934328,24015670.4807147,28673792.0714125,23114654.776378,27593535.2985148,22997904.8196393,27458487.0703337,22470742.8344487,26825036.5317087,23149743.2277952,27637712.7429924,-4487969.51519724,-16.2385706694747
25,"Okamatapati","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",79390564.0547369,63043352.1753315,77422441.828509,60918445.8320281,74810672.564718,60975323.3760972,74882770.7881982,58423177.214046,71746762.5157965,60840074.6493757,74715661.9243054,-13875587.2749298,-18.5711896509558
26,"Otjituuo","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",155994600.264312,124771560.61955,153265272.755637,120508224.500977,148028318.717978,120309591.244735,147784415.536724,116139673.532867,142662037.691167,120432262.474533,147935011.175376,-27502748.7008438,-18.5911019185576
27,"Ozonahi","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",75537241.3037229,60145732.0745614,73948225.040623,57950196.9774398,71246035.5378459,58147936.9836797,71491970.8840884,55587020.0992336,68340589.721998,57957721.5337286,71256705.2961388,-13298983.7624102,-18.663483958654
28,"N#a Jaqna","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",240443522.79513,192279398.524259,237147493.893795,187009322.528091,230644712.949709,185516601.065297,228807161.993026,179445376.292334,221314938.297193,186062674.602495,229478576.783431,-43415902.1809355,-18.9193705092171
29,"!Han /Awab","Cluster F —    //Karas,Hardap",15613955.6901886,11694500.3830469,14604616.4080772,11196583.5720821,13985794.4315522,11071814.282535,13826802.7347973,9788922.35943604,12227965.7836426,10937955.149275,13661294.8395173,-2723339.69024232,-19.9347113303247
30,"!Khob !naub","Cluster F —    //Karas,Hardap",25630837.4752939,19672505.9461862,24209585.9431637,19018281.0946189,23402550.4904484,18962821.0325752,23338088.9419554,17078834.053577,21016766.7231777,18683110.5317393,22991748.0246863,-4308637.49294696,-18.7399300319435
31,"Anabeb","Cluster A — South, Kunene South & Erongo",20271875.3686151,17272577.7113012,20458646.906303,16117376.2373529,19088668.5602312,16646130.0543014,19716531.3046853,15193241.7665145,17994338.8958731,16307331.4423675,19314546.4167731,-3007214.97440565,-15.5696898571437
32,"Ozondundu","Cluster A — South, Kunene South & Erongo",14807412.0888473,12451677.9763352,14779761.4230295,11670799.9219207,13853405.5085075,11935645.8011056,14167228.5629443,11070544.1694673,13140789.9004049,11782166.9672072,13985296.3487216,-2203129.38151439,-15.753183390467
33,"Sesfontein","Cluster A — South, Kunene South & Erongo",27422357.2559202,25508406.407015,29451672.0313891,23700071.6815467,27363387.0747401,24695241.8719008,28511898.5409156,22208062.8491671,25640887.4851419,24027945.7024074,27741961.2830467,-3714015.58063924,-13.387718131194
34,"George Mukoya","Cluster C — Kavango East, Kavango West & Zambezi",15059506.9153775,12504001.1727458,14662648.3469142,12406370.4101424,14535973.0497243,12372654.91365,14504814.6607516,11939769.7793868,13990033.9508806,12305699.0689812,14423367.5020677,-2117668.43308643,-14.6822053364643
35,"Muduva Nyangana","Cluster C — Kavango East, Kavango West & Zambezi",19523965.0901212,16118757.3158521,18915481.1697826,16031585.3898597,18775563.8496063,15941890.1530752,18757712.3820392,15345711.2843022,18050216.0854247,15859486.0357723,18624743.3717132,-2765257.33594094,-14.8472238288166
36,"Shamungwa","Cluster C — Kavango East, Kavango West & Zambezi",1768647.1256493,1447263.5226589,1699458.86421308,1436601.13777,1686566.47868517,1434700.42531345,1689807.14766444,1377849.80125949,1622494.75240022,1424103.72175046,1674581.81074073,-250478.088990268,-14.9576501657732
37,"King Nehale","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",13805999.7581573,11032363.4880202,13770191.2624786,10741770.037415,13418812.8340024,10597276.2883105,13246953.6432561,10539730.986005,13174980.2308488,10727785.1999377,13402734.4926465,-2674949.29270879,-19.9582353450069
38,"Doro !nawas Area1","Cluster E — Kunene (North)",22229300.690853,20494661.0917297,24212663.1061983,19127006.1506695,22594733.5320066,20045261.4805604,23680747.455702,17374744.2623121,20524139.1214133,19260418.2463179,22753070.80383,-3492652.55751212,-15.3502469518277
39,"African Wild Dog","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",93777381.2702591,74325094.657862,91401160.9778891,71690332.9692346,88159903.6556263,71998069.7590699,88539103.0819212,68475080.8986216,84207015.7869439,71622144.571197,88076795.8755951,-16454651.3043981,-18.6821638330709
40,"Torra","Cluster E — Kunene (North)",37706610.5563997,33201045.0127526,39633123.2948906,30942798.3719648,36934052.2120404,32349507.7802806,38614791.2802998,28426175.4289702,33934252.2010696,31229881.6484921,37279054.7470751,-6049173.09858305,-16.2267341262393
41,"Ondjou","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",207854669.87536,165565679.282699,203171181.079428,160971441.80174,197533033.886443,159783424.338957,196076020.782171,153354213.687107,188185588.389621,159918689.777626,196241456.034416,-36322766.2567897,-18.5092217469175
42,"#Gaingu","Cluster A — South, Kunene South & Erongo",444855.743498525,346763.499773911,434529.510902755,322698.696628732,404349.3205416,333944.470219494,418468.260541723,285454.158088697,357695.934919184,322215.206177709,403760.756726316,-81545.5505486071,-20.1965023074002
43,"#Gaingu","Cluster A — South, Kunene South & Erongo",61860752.7664461,52589726.7317795,62873906.7593021,49002048.1551872,58593841.1998042,51185864.5089879,61190656.8462843,43465071.9471079,51986254.2220212,49060677.8357656,58661164.7568529,-9600486.92108733,-16.3660011881468
44,"Sheya Shuushona","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",100821830.444381,84694112.8686048,102359617.767453,81510806.9255602,98529696.0211316,81003413.543249,97916539.1263692,78737270.534815,95168505.7376478,81486400.9680572,98493589.6631505,-17007188.6950933,-17.2673051649941
