"PA_ID","PA","Cluster","Current_Runoff_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
42,"#Gaingu","Cluster A — South, Kunene South & Erongo",444855.743498525,403760.756726316,322215.206177709,-81545.5505486071,-20.1965023074002
43,"#Gaingu","Cluster A — South, Kunene South & Erongo",61860752.7664461,58661164.7568529,49060677.8357656,-9600486.92108733,-16.3660011881468
44,"Sheya Shuushona","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",100821830.444381,98493589.6631505,81486400.9680572,-17007188.6950933,-17.2673051649941
45,"!Khoro !goreb","Cluster E — Kunene (North)",15504868.6351699,14395357.0938011,11236087.667203,-3159269.42659812,-21.9464470802087
46,"Otjimboyo","Cluster A — South, Kunene South & Erongo",3742111.97085893,3526502.89449062,2920637.3765602,-605865.51793042,-17.1803493732261
47,"Tsiseb","Cluster A — South, Kunene South & Erongo",64688992.7892695,62517111.7258119,53110061.8117908,-9407049.91402105,-15.0471601363777
48,"Sorris Sorris","Cluster E — Kunene (North)",20195435.1171954,18993419.629262,15768017.9478946,-3225401.68136733,-16.9816796781458
49,"Okangundumba","Cluster E — Kunene (North)",22436101.4159372,21395214.5026766,17489328.1457281,-3905886.35694847,-18.2558878129492
50,"Sanitatas","Cluster E — Kunene (North)",17853628.5489577,18327743.9083755,15368206.7423952,-2959537.16598032,-16.1478531169778
51,"Epupa","Cluster E — Kunene (North)",51474291.8578059,51388623.2413414,42036724.8097139,-9351898.43162752,-18.1983829138743
52,"Ongongo","Cluster E — Kunene (North)",7640975.02649616,7296133.37931675,6039904.96448766,-1256228.41482909,-17.2177282064262
53,"Otjiu-West","Cluster E — Kunene (North)",16446661.7937026,15600723.7465161,12890676.7228283,-2710047.02368776,-17.3712903819156
54,"Marienfluss","Cluster E — Kunene (North)",33796815.4163418,34998103.4778421,29613139.5979778,-5384963.87986432,-15.3864448205704
55,"Puros","Cluster E — Kunene (North)",39641450.9576418,40739827.8356074,34821338.2243978,-5918489.61120959,-14.5275273010278
56,"Okondjombo","Cluster E — Kunene (North)",24497034.1784575,24039266.0815441,20032120.8817682,-4007145.19977583,-16.6691661308757
57,"Otjikongo","Cluster E — Kunene (North)",15675993.5355825,15015414.0594192,12465514.9736304,-2549899.08578884,-16.9818765949333
58,"Kunene River","Cluster E — Kunene (North)",49696555.8443792,48155166.5872322,38978255.2316972,-9176911.35553496,-19.0569610820703
59,"Ombazu","Cluster E — Kunene (North)",15987538.1821463,15336352.9193084,12362850.2728681,-2973502.64644033,-19.3885903779425
60,"Ombombo","Cluster E — Kunene (North)",28218843.5021946,27475555.0970193,22361420.6722653,-5114134.424754,-18.6133980066842
61,"Otjikondavirongo","Cluster E — Kunene (North)",15505868.8361391,14764569.8646123,12373319.5215839,-2391250.34302843,-16.1958686568972
62,"Ombujokanguindi","Cluster E — Kunene (North)",20196828.2172816,19019922.2286607,15710782.2929877,-3309139.93567304,-17.3982832100468
63,"Otuzemba","Cluster E — Kunene (North)",14155334.2692818,13670521.1600653,11160603.6724933,-2509917.48757198,-18.3600717060007
64,"Etanga","Cluster E — Kunene (North)",14831634.4237005,14564640.2227252,12023130.6271378,-2541509.59558744,-17.4498618347051
65,"Eiseb","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",148328886.06,139081140.388142,113511669.27432,-25569471.1138219,-18.3845710802081
66,"Otjambangu","Cluster E — Kunene (North)",6644672.36148989,6241608.63578282,5161269.78470101,-1080338.85108181,-17.3086605412631
67,"Sikunga","Cluster C — Kavango East, Kavango West & Zambezi",10433758.7565411,9859099.58138718,7488420.96318288,-2370678.6182043,-24.0455895453157
68,"Okongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",50566069.6577332,48565353.1333627,40578749.8060246,-7986603.32733819,-16.4450638408962
69,"Okatjandja Kozomenje","Cluster E — Kunene (North)",12501870.292506,11987148.3938281,9618945.26266442,-2368203.1311637,-19.756184318057
70,"Otjombande","Cluster E — Kunene (North)",6681206.70850683,6416366.95017892,5217947.38562634,-1198419.56455258,-18.6775409489192
71,"Sobbe","Cluster C — Kavango East, Kavango West & Zambezi",12810904.3874019,12038575.8837166,10152658.6734579,-1885917.21025877,-15.6656171666422
72,"Balyerwa","Cluster C — Kavango East, Kavango West & Zambezi",6971208.58912785,6561722.23875682,5245281.13441537,-1316441.10434145,-20.0624326425445
73,"Wuparo","Cluster C — Kavango East, Kavango West & Zambezi",5881869.88161587,5541115.94533409,4508071.53503654,-1033044.41029755,-18.6432556273692
74,"Dzoti","Cluster C — Kavango East, Kavango West & Zambezi",8984251.35728583,8473622.24595759,6915358.30245625,-1558263.94350134,-18.3895847403951
75,"Huibes","Cluster F —    //Karas,Hardap",14623487.0891224,13434666.8714776,10663334.0291171,-2771332.84236055,-20.6282215173062
76,"Kabulabula","Cluster C — Kavango East, Kavango West & Zambezi",3159111.82626075,3029186.47657238,2230836.822767,-798349.65380538,-26.3552495027886
77,"Okongoro","Cluster E — Kunene (North)",18177723.2630171,17621813.1666876,14408859.2550358,-3212953.91165176,-18.2328224755302
78,"Lusese","Cluster C — Kavango East, Kavango West & Zambezi",7683282.95519342,7286426.1315489,5546105.79836515,-1740320.33318375,-23.8844160602751
79,"Nakabolelwa","Cluster C — Kavango East, Kavango West & Zambezi",4092574.53215798,3913815.28179775,2886321.26694766,-1027494.0148501,-26.253002271945
80,"Ohungu","Cluster A — South, Kunene South & Erongo",12351771.0741763,11563794.420699,9193080.6014909,-2370713.81920812,-20.5011757642853
81,"Maurus Nekaro","Cluster C — Kavango East, Kavango West & Zambezi",36260394.2984611,35034584.0900745,29747896.1036548,-5286687.98641972,-15.0899122216709
82,"Kapinga kaMwalye","Cluster C — Kavango East, Kavango West & Zambezi",40474711.8329566,38971055.3182682,33237082.2237446,-5733973.0945236,-14.7134149888821
83,"Otjindjerese","Cluster E — Kunene (North)",13772954.7928714,13380435.1051997,10875496.8662826,-2504938.23891711,-18.7209027152165
84,"Nyae Nyae","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",229341783.533444,218330021.044627,175492019.44226,-42838001.6023671,-19.6207564115111
85,"Ekango Lyomongwa","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",33921957.9916914,33186287.2958646,27326507.2140641,-5859780.08180051,-17.6572330298927
86,"#Khoadi-//HÃ´as","Cluster E",45416191.3823967,42755456.6720778,34040876.8698526,-8714579.80222524,-20.3823803568831
87,"Joseph Mbambangandu","Cluster C",1263597.31256904,1214426.38923274,1024730.61153678,-189695.777695958,-15.6201956230386
88,"Impalila","Cluster C",2631701.88035464,2521993.27900878,1906288.43096049,-615704.848048282,-24.4134214461616
89,"Kasika","Cluster C",5356882.91918051,5108522.86506753,3751485.94027629,-1357036.92479123,-26.564174432315
90,"!Gawachab","Cluster F",779892.742356685,686566.156006871,594800.109078949,-91766.0469279224,-13.3659438533414
