"unit_id","unit","species","feeding_group","habitat_profile","carrying_capacity_animals_Current","carrying_capacity_animals_SSP245_2050_Without_Intervention","carrying_capacity_animals_SSP245_2050_With_Intervention","carrying_capacity_animals_SSP245_2090_Without_Intervention","carrying_capacity_animals_SSP245_2090_With_Intervention","carrying_capacity_animals_SSP585_2050_Without_Intervention","carrying_capacity_animals_SSP585_2050_With_Intervention","carrying_capacity_animals_SSP585_2090_Without_Intervention","carrying_capacity_animals_SSP585_2090_With_Intervention","capacity_change_from_current_animals_Current","capacity_change_from_current_animals_SSP245_2050_Without_Intervention","capacity_change_from_current_animals_SSP245_2050_With_Intervention","capacity_change_from_current_animals_SSP245_2090_Without_Intervention","capacity_change_from_current_animals_SSP245_2090_With_Intervention","capacity_change_from_current_animals_SSP585_2050_Without_Intervention","capacity_change_from_current_animals_SSP585_2050_With_Intervention","capacity_change_from_current_animals_SSP585_2090_Without_Intervention","capacity_change_from_current_animals_SSP585_2090_With_Intervention","capacity_change_from_current_pct_Current","capacity_change_from_current_pct_SSP245_2050_Without_Intervention","capacity_change_from_current_pct_SSP245_2050_With_Intervention","capacity_change_from_current_pct_SSP245_2090_Without_Intervention","capacity_change_from_current_pct_SSP245_2090_With_Intervention","capacity_change_from_current_pct_SSP585_2050_Without_Intervention","capacity_change_from_current_pct_SSP585_2050_With_Intervention","capacity_change_from_current_pct_SSP585_2090_Without_Intervention","capacity_change_from_current_pct_SSP585_2090_With_Intervention"
"Cluster_1","Cluster A — South, Kunene South & Erongo","Gemsbok","Mixed","Arid_Mixed",93523,87908,161778,83404,154003,85188,157209,77703,142863,0,-5615,68256,-10119,60480,-8335,63686,-15819,49341,0,-6.003886293421,72.9830917287461,-10.8196093798903,64.6692280951679,-8.91245058950842,68.0971460334975,-16.9149998782845,52.758015093738
"Cluster_1","Cluster A — South, Kunene South & Erongo","Giraffe","Browser","Woodland_Browser",18316,18113,16915,17388,16206,17506,16382,16283,15123,0,-203,-1401,-929,-2110,-811,-1934,-2033,-3193,0,-1.11026987694347,-7.65000841040164,-5.0699234334884,-11.5202331462207,-4.42611649272112,-10.5615683679652,-11.1003343125924,-17.4347724356158
"Cluster_1","Cluster A — South, Kunene South & Erongo","Hartmann's zebra","Grazer","Arid_Grazer",62331,57461,126269,54267,120070,55735,122767,50464,111281,0,-4869,63938,-8063,57739,-6595,60436,-11867,48950,0,-7.81217712450947,102.579183986769,-12.9363041837608,92.6337808757041,-10.581428605007,96.9603251373755,-19.0388154125657,78.5325630197253
"Cluster_1","Cluster A — South, Kunene South & Erongo","Hippopotamus","Grazer","Wetland_Grazer",3030,2502,10847,2311,10295,2420,10547,2155,9540,0,-529,7817,-719,7265,-610,7516,-875,6509,0,-17.4491018981724,257.946082743848,-23.7270366692047,239.72639872131,-20.135253770912,248.032452030043,-28.8798511414477,214.794844380344
"Cluster_1","Cluster A — South, Kunene South & Erongo","Impala","Mixed","Mixed_Open",341928,316547,668269,299738,635888,306322,649216,279857,590138,0,-25381,326341,-42190,293960,-35606,307288,-62071,248210,0,-7.42298663779405,95.4414195712045,-12.3387939763583,85.9712315415808,-10.413399422363,89.8693307434216,-18.1533403170565,72.5912527952885
"Cluster_1","Cluster A — South, Kunene South & Erongo","Klipspringer","Browser","Rocky_Browser",1727102,1711708,1556016,1640302,1489322,1659102,1510079,1528741,1385055,0,-15393,-171086,-86800,-237779,-68000,-217023,-198361,-342046,0,-0.89128531727844,-9.90596400351671,-5.02576324729304,-13.7675411799774,-3.93721081114933,-12.5657243732122,-11.485169954015,-19.8046378907415
"Cluster_1","Cluster A — South, Kunene South & Erongo","Kudu","Browser","Woodland_Browser",81941,81031,75673,77787,72501,78314,73287,72845,67655,0,-910,-6269,-4154,-9440,-3627,-8654,-9096,-14286,0,-1.11026987694346,-7.65000841040164,-5.0699234334884,-11.5202331462207,-4.42611649272113,-10.5615683679652,-11.1003343125924,-17.4347724356158
"Cluster_1","Cluster A — South, Kunene South & Erongo","Leopard","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_1","Cluster A — South, Kunene South & Erongo","Ostrich","Mixed","Mixed_Open",170964,158273,334135,149869,317944,153161,324608,139928,295069,0,-12691,163170,-21095,146980,-17803,153644,-31036,124105,0,-7.42298663779405,95.4414195712045,-12.3387939763583,85.9712315415808,-10.413399422363,89.8693307434216,-18.1533403170565,72.5912527952885
"Cluster_1","Cluster A — South, Kunene South & Erongo","Red Hartebeest","Grazer","General_Grazer",88346,77482,242760,72500,230588,75043,236014,67539,213711,0,-10864,154414,-15846,142243,-13302,147669,-20807,125365,0,-12.2969253049583,174.784133038604,-17.935847399178,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Red Lechwe","Grazer","Wetland_Grazer",53033,43779,189828,40450,180166,42354,184571,37717,166944,0,-9254,136796,-12583,127133,-10678,131538,-15316,113911,0,-17.4491018981724,257.946082743848,-23.7270366692047,239.72639872131,-20.135253770912,248.032452030043,-28.8798511414477,214.794844380344
"Cluster_1","Cluster A — South, Kunene South & Erongo","Reedbuck","Grazer","Wetland_Grazer",94280,77829,337473,71910,320295,75297,328126,67052,296790,0,-16451,243192,-22370,226015,-18984,233846,-27228,202509,0,-17.4491018981724,257.946082743848,-23.7270366692047,239.72639872131,-20.135253770912,248.032452030043,-28.8798511414477,214.794844380344
"Cluster_1","Cluster A — South, Kunene South & Erongo","Roan","Grazer","General_Grazer",55216,48426,151725,45313,144118,46902,147509,42212,133569,0,-6790,96509,-9903,88902,-8314,92293,-13004,78353,0,-12.2969253049583,174.784133038604,-17.935847399178,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Sable","Grazer","General_Grazer",66259,58111,182070,54375,172941,56282,177011,50654,160283,0,-8148,115811,-11884,106682,-9977,110751,-15605,94024,0,-12.2969253049583,174.784133038604,-17.9358473991781,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_1","Cluster A — South, Kunene South & Erongo","Spotted Hyaena","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_1","Cluster A — South, Kunene South & Erongo","Springbok","Grazer","Arid_Grazer",459279,423399,930404,399865,884727,410681,904598,371838,819963,0,-35880,471125,-59414,425448,-48598,445319,-87441,360684,0,-7.81217712450947,102.579183986769,-12.9363041837608,92.6337808757041,-10.581428605007,96.9603251373755,-19.0388154125657,78.5325630197253
"Cluster_1","Cluster A — South, Kunene South & Erongo","Steenbok","Browser","Shrub_Browser",2004565,1980969,1885063,1900204,1805137,1916194,1826968,1776927,1682471,0,-23596,-119502,-104361,-199428,-88371,-177597,-227637,-322094,0,-1.17711568568677,-5.96149301309646,-5.20617794538723,-9.94868603975624,-4.40848403987246,-8.85961904647411,-11.3559541478112,-16.0680151993605
"Cluster_1","Cluster A — South, Kunene South & Erongo","Vervet monkey","Omnivore","Omnivore",2291673,2184298,3451641,2080720,3290135,2113185,3350910,1944347,3057226,0,-107375,1159968,-210953,998462,-178488,1059237,-347326,765553,0,-4.6854392239496,50.6166545179507,-9.20520982864305,43.569111926683,-7.78853038003435,46.2211331817465,-15.1559992533362,33.405870154752
"Cluster_1","Cluster A — South, Kunene South & Erongo","Warthog","Grazer","General_Grazer",189312,166032,520199,155357,494117,160807,505745,144725,457951,0,-23280,330887,-33955,304806,-28505,316433,-44586,268639,0,-12.2969253049583,174.784133038604,-17.9358473991781,161.007028915452,-15.0572476124767,167.148924326863,-23.5518536734513,141.90301813834
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Baboon","Omnivore","Omnivore",432975,412639,411038,407471,406108,410378,407510,385715,382964,0,-20336,-21938,-25505,-26868,-22597,-25466,-47260,-50011,0,-4.69687009272374,-5.06670502060932,-5.89054089182453,-6.20538303990774,-5.21899439397326,-5.88152860663943,-10.9151417832623,-11.5505575654061
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black rhinoceros","Browser","Shrub_Browser",15762,15685,13922,15637,13866,15557,13565,14793,12853,0,-76,-1840,-125,-1896,-205,-2197,-969,-2909,0,-0.485304582167889,-11.6707399424533,-0.792658451349473,-12.0264834860957,-1.29771515628694,-13.9385314797395,-6.14901135251827,-18.4572481334607
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black-backed Jackal","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Black-faced Impala","Mixed","Mixed_Open",267943,252073,267808,248099,265243,250624,262334,234827,246424,0,-15870,-135,-19845,-2700,-17319,-5610,-33117,-21519,0,-5.92307219131139,-0.0505409509241798,-7.40635054598128,-1.00783600751543,-6.46368717134848,-2.09358777669365,-12.3596282058296,-8.03131687732147
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Blue wildebeest","Grazer","General_Grazer",47602,43014,52000,41958,51466,42905,50894,39743,47596,0,-4588,4398,-5644,3864,-4697,3292,-7860,-6,0,-9.63800043193887,9.23813724927316,-11.8572790946354,8.11707444544338,-9.8678118311875,6.91560124111291,-16.5111954363062,-0.0129112499105559
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Buffalo","Grazer","General_Grazer",20945,18926,22880,18461,22645,18878,22393,17487,20942,0,-2019,1935,-2484,1700,-2067,1448,-3458,-3,0,-9.63800043193887,9.23813724927316,-11.8572790946354,8.11707444544338,-9.8678118311875,6.91560124111291,-16.5111954363062,-0.0129112499105468
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Burchell's zebra","Grazer","General_Grazer",32727,29572,35750,28846,35383,29497,34990,27323,32722,0,-3154,3023,-3880,2656,-3229,2263,-5404,-4,0,-9.63800043193886,9.23813724927317,-11.8572790946354,8.11707444544338,-9.8678118311875,6.91560124111292,-16.5111954363062,-0.0129112499105503
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Bushpig","Omnivore","Omnivore",173190,165056,164415,162988,162443,164151,163004,154286,153186,0,-8135,-8775,-10202,-10747,-9039,-10186,-18904,-20004,0,-4.69687009272373,-5.06670502060931,-5.89054089182453,-6.20538303990773,-5.21899439397325,-5.88152860663943,-10.9151417832623,-11.5505575654061
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Cheetah","Carnivore","Carnivore",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Damara dik dik","Browser","Shrub_Browser",3152383,3137085,2784477,3127396,2773262,3111474,2712987,2958543,2570540,0,-15299,-367906,-24988,-379121,-40909,-439396,-193840,-581843,0,-0.485304582167893,-11.6707399424533,-0.79265845134947,-12.0264834860957,-1.29771515628695,-13.9385314797394,-6.14901135251827,-18.4572481334607
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Duiker","Browser","Woodland_Browser",856886,830167,771363,822074,758383,824135,776581,777859,730579,0,-26719,-85522,-34812,-98502,-32751,-80305,-79027,-126307,0,-3.11811502001801,-9.98057135919771,-4.06259331879638,-11.4953785186297,-3.82207183596813,-9.37171461461898,-9.22257624044012,-14.7402306855713
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Eland","Mixed","Mixed_Open",26794,25207,26781,24810,26524,25062,26233,23483,24642,0,-1587,-14,-1984,-270,-1732,-561,-3312,-2152,0,-5.92307219131139,-0.0505409509241798,-7.40635054598129,-1.00783600751545,-6.46368717134849,-2.09358777669365,-12.3596282058297,-8.03131687732148
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Elephant","Mixed","Large_Mixed",4091,3923,3905,3879,3867,3899,3843,3671,3618,0,-167,-186,-212,-223,-192,-247,-420,-473,0,-4.08840164647098,-4.54374273704631,-5.17567371523829,-5.46056465341613,-4.69287785169452,-6.04789521535729,-10.2582136945149,-11.5609684484339
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Gemsbok","Mixed","Arid_Mixed",55225,52699,54732,52036,54529,52315,52635,49234,49620,0,-2527,-493,-3189,-697,-2911,-2591,-5991,-5605,0,-4.57505464587137,-0.893452277078214,-5.77467121389765,-1.26174279330764,-5.27027409995508,-4.69080839261754,-10.8490651848222,-10.1495732019211
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Giraffe","Browser","Woodland_Browser",17642,17092,15881,16925,15614,16967,15988,16015,15041,0,-550,-1761,-717,-2028,-674,-1653,-1627,-2600,0,-3.11811502001803,-9.98057135919772,-4.06259331879639,-11.4953785186297,-3.82207183596813,-9.37171461461897,-9.22257624044012,-14.7402306855713
"Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Hartmann's zebra","Grazer","Arid_Grazer",33179,30735,35008,30139,34811,30551,33697,28523,31649,0,-2444,1829,-3041,1632,-2628,518,-4656,-1530,0,-7.36617300771051,5.51264169525504,-9.16392832542133,4.9184968660179,-7.92139115668865,1.56207056040557,-14.031996811533,-4.6118893342627
