"species","feeding_group","habitat_profile","body_mass_kg","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","estimate_status","total_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Red Hartebeest","Grazer","General_Grazer",150,1368.75,120922993.881016,88345.5663057648,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",88345.5663057648,0,0,88346,0
"Red Lechwe","Grazer","Wetland_Grazer",80,730,38713859.1013074,53032.6837004211,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",53032.6837004211,0,0,53033,0
"Reedbuck","Grazer","Wetland_Grazer",45,410.625,38713859.1013074,94280.3265785264,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",94280.3265785264,0,0,94280,0
"Roan","Grazer","General_Grazer",240,2190,120922993.881016,55215.978941103,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",55215.978941103,0,0,55216,0
"Sable","Grazer","General_Grazer",200,1825,120922993.881016,66259.1747293236,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",66259.1747293236,0,0,66259,0
"Spotted Hyaena","Carnivore","Carnivore",55,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",,,,,
"Springbok","Grazer","Arid_Grazer",38,346.75,159255062.920002,459279.20092286,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",459279.20092286,0,0,459279,0
"Steenbok","Browser","Shrub_Browser",10,91.25,182916543.798148,2004564.86354135,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",2004564.86354135,0,0,2004565,0
"Vervet monkey","Omnivore","Omnivore",5,45.625,104557580.868118,2291673.0053286,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",2291673.0053286,0,0,2291673,0
"Warthog","Grazer","General_Grazer",70,638.75,120922993.881016,189311.927798067,"Forage-limited potential carrying capacity","Estimated",2738207.08076389,0,0,"Cluster","Cluster_1","Cluster A — South, Kunene South & Erongo","Current","Current","Current",189311.927798067,0,0,189312,0
"Baboon","Omnivore","Omnivore",24,219,94821598.6231134,432975.3361786,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",432975.3361786,0,0,432975,0
"Black rhinoceros","Browser","Shrub_Browser",1000,9125,143827489.189156,15761.9166234691,"Forage-limited potential carrying capacity","Estimated",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",15761.9166234691,0,0,15762,0
"Black-backed Jackal","Carnivore","Carnivore",8.5,,,,"Prey biomass required - not estimated from forage","Not estimated: requires local preferred-prey biomass/density data",783233.539348635,2941.53979417973,0.375563563918116,"Cluster","Cluster_2","Cluster C — Kavango East, Kavango West & Zambezi","Current","Current","Current",,,,,
