spatial_unit;climate_scenario;management_scenario;feeding_group;units;mean_species_capacity_animals;median_species_capacity_animals;mean_change_from_current_pct;median_change_from_current_pct
Cluster;SSP245_2090;With_Intervention;Carnivore;6;;;;
Cluster;SSP245_2090;With_Intervention;Grazer;6;423878;174669;109.294343537911;68.6825308649752
Cluster;SSP245_2090;With_Intervention;Mixed;6;527317;242380;33.1095002065203;16.8658071362547
Cluster;SSP245_2090;With_Intervention;Omnivore;6;2443099;960865;9.56138397209706;1.29532816456226
Cluster;SSP245_2090;Without_Intervention;Browser;6;2834361;738880;-7.0631170795828;-5.32562745615849
Cluster;SSP245_2090;Without_Intervention;Carnivore;6;;;;
Cluster;SSP245_2090;Without_Intervention;Grazer;6;167277;93183;-12.6075261438234;-12.9363041837608
Cluster;SSP245_2090;Without_Intervention;Mixed;6;330854;162983;-9.26606524161345;-8.31838276006435
Cluster;SSP245_2090;Without_Intervention;Omnivore;6;2164137;812213;-8.6629274261019;-7.44442905240715
Cluster;SSP585_2050;With_Intervention;Browser;6;1741751;625070;-26.4290125325271;-22.5783410746408
Cluster;SSP585_2050;With_Intervention;Carnivore;6;;;;
Cluster;SSP585_2050;With_Intervention;Grazer;6;427091;177128;111.315364736182;70.8135648360409
Cluster;SSP585_2050;With_Intervention;Mixed;6;530928;244057;34.0896424195439;17.6741172004842
Cluster;SSP585_2050;With_Intervention;Omnivore;6;2460256;972203;10.5380428875643;1.62727770095376
Cluster;SSP585_2050;Without_Intervention;Browser;6;2839745;739449;-6.66765439183996;-4.42611649272113
Cluster;SSP585_2050;Without_Intervention;Carnivore;6;;;;
Cluster;SSP585_2050;Without_Intervention;Grazer;6;169517;94918;-11.1141187640464;-10.8629251451387
Cluster;SSP585_2050;Without_Intervention;Mixed;6;333345;165709;-8.39634539831309;-7.61126631728144
Cluster;SSP585_2050;Without_Intervention;Omnivore;6;2175632;817516;-7.92087092889512;-6.7340371473406
Cluster;SSP585_2090;With_Intervention;Browser;6;1633018;576480;-31.5857383533197;-28.5420966305089
Cluster;SSP585_2090;With_Intervention;Carnivore;6;;;;
Cluster;SSP585_2090;With_Intervention;Grazer;6;398261;164280;95.7258268520622;58.1578171850096
Cluster;SSP585_2090;With_Intervention;Mixed;6;495654;218866;24.2607254747762;5.52832623523728
Cluster;SSP585_2090;With_Intervention;Omnivore;6;2298849;884940;2.44909036153218;-6.20972764578332
Cluster;SSP585_2090;Without_Intervention;Browser;6;2671558;696871;-12.7814976430722;-10.7187739980949
Cluster;SSP585_2090;Without_Intervention;Carnivore;6;;;;
Cluster;SSP585_2090;Without_Intervention;Grazer;6;157298;86150;-18.1344624485416;-17.852369800907
Cluster;SSP585_2090;Without_Intervention;Mixed;6;311511;149399;-14.9319285632401;-13.8849859675814
Cluster;SSP585_2090;Without_Intervention;Omnivore;6;2038924;751197;-14.3287483265398;-12.6052177991321
