"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_group","species_count","species_estimated","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Without_Intervention","Mixed",6,6,17358,13462,-10.6201826873034,-10.888634645212
"Conservancy","Conservancy_1","Okanguati","SSP585_2090","Without_Intervention","Omnivore",3,3,120025,58077,-9.39944303844226,-9.39944303844226
"Conservancy","Conservancy_10","Salambala","Current","Current","Browser",7,7,93548,88725,0,0
"Conservancy","Conservancy_10","Salambala","Current","Current","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","Current","Current","Grazer",12,12,11957,7276,0,0
"Conservancy","Conservancy_10","Salambala","Current","Current","Mixed",6,6,14978,11026,0,0
"Conservancy","Conservancy_10","Salambala","Current","Current","Omnivore",3,3,106232,51402,0,0
"Conservancy","Conservancy_10","Salambala","SSP245_2050","With_Intervention","Browser",7,7,84336,84687,-7.00409430694915,-11.0607043123229
"Conservancy","Conservancy_10","Salambala","SSP245_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP245_2050","With_Intervention","Grazer",12,12,10726,6507,-10.3421399546632,-10.55955831531
"Conservancy","Conservancy_10","Salambala","SSP245_2050","With_Intervention","Mixed",6,6,13407,9731,-10.814277578548,-10.092219174223
"Conservancy","Conservancy_10","Salambala","SSP245_2050","With_Intervention","Omnivore",3,3,99627,48206,-6.21744939025808,-6.21744939025808
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Without_Intervention","Browser",7,7,97151,88368,2.51075111738824,4.39546445930837
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Without_Intervention","Grazer",12,12,10380,6168,-13.7421909979408,-15.2192020456038
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Without_Intervention","Mixed",6,6,13657,10085,-7.99529311505794,-8.94731840157508
"Conservancy","Conservancy_10","Salambala","SSP245_2050","Without_Intervention","Omnivore",3,3,100945,48844,-4.97672269543463,-4.97672269543463
"Conservancy","Conservancy_10","Salambala","SSP245_2090","With_Intervention","Browser",7,7,84551,85147,-6.96989597996196,-10.7499418602228
"Conservancy","Conservancy_10","Salambala","SSP245_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP245_2090","With_Intervention","Grazer",12,12,10581,6405,-11.6124261708541,-11.970546980862
"Conservancy","Conservancy_10","Salambala","SSP245_2090","With_Intervention","Mixed",6,6,13276,9640,-11.6081434172988,-10.9864932466513
"Conservancy","Conservancy_10","Salambala","SSP245_2090","With_Intervention","Omnivore",3,3,98968,47888,-6.83757926548479,-6.83757926548479
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Browser",7,7,98977,89047,4.08960411025042,6.49648459595789
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Grazer",12,12,10027,5912,-16.8547206938915,-18.7452773137268
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Mixed",6,6,13405,9909,-9.43558894254841,-10.6607647527994
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Omnivore",3,3,100327,48545,-5.55787459828845,-5.55787459828845
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Browser",7,7,84190,83551,-6.28034898834031,-11.5991023446628
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Grazer",12,12,10542,6384,-11.9158930441364,-12.248748949238
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Mixed",6,6,13231,9558,-12.0391565110063,-11.145160308254
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Omnivore",3,3,100074,48423,-5.79653766716064,-5.79653766716064
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Browser",7,7,97902,89045,3.30137754458347,5.20292524871396
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Grazer",12,12,10455,6213,-13.1193662508272,-14.6030274732471
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Mixed",6,6,13759,10161,-7.30032761501028,-8.26260840647722
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Omnivore",3,3,101698,49209,-4.26753506238361,-4.26753506238361
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Browser",7,7,79529,79193,-11.6951554506819,-16.397122400497
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Grazer",12,12,9804,5923,-18.1370307158328,-18.5925931675103
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Mixed",6,6,12347,8925,-17.8437822063404,-17.1007990146555
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Omnivore",3,3,93663,45321,-11.831475774771,-11.831475774771
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Browser",7,7,93917,84501,-1.2299860256885,1.05130713932814
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Grazer",12,12,9519,5612,-21.0716799891381,-22.8699921577333
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Mixed",6,6,12722,9404,-14.0544232874385,-15.2145126791755
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Omnivore",3,3,95220,46074,-10.3654804658434,-10.3654804658434
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Browser",7,7,49484,33819,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Grazer",12,12,5688,3483,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Mixed",6,6,8161,6543,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Omnivore",3,3,44367,21468,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Browser",7,7,46822,31964,-5.50749720291137,-5.48561753649429
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Grazer",12,12,16790,11669,220.807088774625,216.428733854147
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Mixed",6,6,19456,15072,127.052904431831,141.702658917115
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Omnivore",3,3,82573,39955,86.1110790941096,86.1110790941096
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Browser",7,7,44380,29716,-10.9345868722214,-10.8440609610362
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Grazer",12,12,4804,2909,-16.8941969077524,-16.785224377774
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Mixed",6,6,6953,5619,-14.2944354449504,-15.0636664714866
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Omnivore",3,3,38359,18561,-13.5430519712747,-13.5430519712747
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Browser",7,7,44828,30619,-9.51474080762828,-9.46297830760995
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Grazer",12,12,16003,11122,205.736530829807,201.572373885134
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Mixed",6,6,18555,14375,116.562104029019,130.505625728068
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Omnivore",3,3,78810,38134,77.6301557462136,77.6301557462136
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Browser",7,7,41992,28049,-15.7954632811154,-15.7006890588849
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Grazer",12,12,4507,2733,-22.1978074903745,-22.0806339744836
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Mixed",6,6,6533,5285,-19.4070961121372,-20.2270748918103
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Omnivore",3,3,36118,17476,-18.5944413701261,-18.5944413701261
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Browser",7,7,45418,31002,-8.3450178379911,-8.32839828909142
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Grazer",12,12,16292,11323,211.278790572203,207.029853217676
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Mixed",6,6,18877,14624,120.296864898608,134.512035323606
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Omnivore",3,3,80112,38764,80.5641867409386,80.5641867409386
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Browser",7,7,43026,28803,-13.6576895295481,-13.5672859172902
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Grazer",12,12,4663,2824,-19.316650563204,-19.2133647942855
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Mixed",6,6,6746,5452,-16.8441219817947,-17.5860276429771
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Omnivore",3,3,37206,18003,-16.1404270071071,-16.1404270071071
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Browser",7,7,41539,28374,-16.1523494406075,-16.1009724800187
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Carnivore",4,0,,,,
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Grazer",12,12,14826,10303,183.233985760064,179.376763055458
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Mixed",6,6,17190,13318,100.631719340857,113.548642713962
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Omnivore",3,3,73016,35330,64.5701578328098,64.5701578328098
