"PA_ID","PA","Cluster","Current_water_yield_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
1,"Cluster A — South, Kunene South & Erongo","Cluster A — South, Kunene South & Erongo",1075457342.66649,1528726377.9529,1032159916.17917,1357098884.01229,910895125.330735,1417666838.14912,943198945.560351,1154484886.08388,774626463.525029,1364494246.54955,915220112.64882,449274133.90073,49.0891893317822
2,"Cluster C — Kavango East, Kavango West & Zambezi","Cluster C — Kavango East, Kavango West & Zambezi",2328694704.23552,2204509117.58286,2273257297.19552,2229622798.16586,2277926867.43715,2085233539.44831,2268605513.48572,1964658136.42998,2133374549.79929,2121005897.90675,2238291056.97942,-117285159.07267,-5.2399422634046
3,"Cluster B — Omaheke & Otjozondjupa (Central / Group 4)","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",15908043865.1576,16393914259.3943,15032474778.0495,15550087555.8066,14154690879.3949,15491160417.2235,14105002700.0147,14145749129.1694,12684222894.2793,15395227840.3984,13994097812.9346,1401130027.4638,10.0122926550417
4,"Cluster E — Kunene (North)","Cluster E — Kunene (North)",4368622030.41575,5833531653.87073,4279310183.90807,5219885530.01995,3807535488.6027,5452485999.57244,3955432152.32925,4756039780.06894,3450423433.63791,5315485740.88302,3873175314.61948,1442310426.26353,37.2384493110721
5,"Cluster D — Omusati, Oshana, Oshikoto & Ohangwena","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",3439399668.95317,3596592805.94861,3469445231.37646,3407557434.55765,3270575178.88693,3371299257.99594,3227921514.95693,3183299009.04511,3033981998.02795,3389687126.88683,3250480980.81207,139206146.074761,4.28263222878429
6,"Cluster F —    //Karas,Hardap","Cluster F —    //Karas,Hardap",368282623.024766,421127262.182375,303231185.329006,388915783.197057,275221152.260204,391386669.682102,279550056.427845,314584680.016784,217440900.666347,379003598.76958,268860823.67085,110142775.098729,40.966464951982
