"spatial_unit","climate_scenario","management_scenario","species","feeding_regime","units","mean_capacity_animals","median_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Cluster","SSP245_2090","With_Intervention","Donkeys","Grazer",6,535193,306594,73.3259922553968,68.1540449451929
"Cluster","SSP245_2090","With_Intervention","Goats","Browser-Mixed",6,1070830,670862,-0.0851633533501917,-2.48976204583048
"Cluster","SSP245_2090","With_Intervention","Sheep","Grazer-Mixed",6,1255388,717991,58.890663159448,53.9370792411924
"Cluster","SSP245_2090","Without_Intervention","Cattle","Grazer",6,57536,43643,-12.7878067385581,-12.907240481766
"Cluster","SSP245_2090","Without_Intervention","Donkeys","Grazer",6,235981,173478,-11.0407485443068,-10.7840542685527
"Cluster","SSP245_2090","Without_Intervention","Goats","Browser-Mixed",6,1067609,602308,-7.88832191781424,-6.96530610207555
"Cluster","SSP245_2090","Without_Intervention","Sheep","Grazer-Mixed",6,638225,429577,-10.6238147182463,-9.93798530897247
"Cluster","SSP585_2050","With_Intervention","Cattle","Grazer",6,157051,87846,104.321471598666,100.037875760978
"Cluster","SSP585_2050","With_Intervention","Donkeys","Grazer",6,539224,310034,74.7265214960756,70.4709658756568
"Cluster","SSP585_2050","With_Intervention","Goats","Browser-Mixed",6,1077736,675949,0.610298380453569,-2.35442144610484
"Cluster","SSP585_2050","With_Intervention","Sheep","Grazer-Mixed",6,1264492,725515,60.2208517631628,54.3548219087236
"Cluster","SSP585_2050","Without_Intervention","Cattle","Grazer",6,58367,44191,-11.2751151487679,-10.9177866348845
"Cluster","SSP585_2050","Without_Intervention","Donkeys","Grazer",6,238914,175476,-9.76406887871325,-9.4641605013317
"Cluster","SSP585_2050","Without_Intervention","Goats","Browser-Mixed",6,1072754,604847,-7.24801237156947,-6.01360805054247
"Cluster","SSP585_2050","Without_Intervention","Sheep","Grazer-Mixed",6,644738,433684,-9.48428619649277,-8.80855053233744
"Cluster","SSP585_2090","With_Intervention","Cattle","Grazer",6,146437,81587,89.2064985741509,84.2810267437927
"Cluster","SSP585_2090","With_Intervention","Donkeys","Grazer",6,502783,287874,61.9139387565155,57.4362095081792
"Cluster","SSP585_2090","With_Intervention","Goats","Browser-Mixed",6,1007158,631082,-6.6744684748842,-10.3777152937783
"Cluster","SSP585_2090","With_Intervention","Sheep","Grazer-Mixed",6,1179660,674663,48.4050654559849,44.9184968429476
"Cluster","SSP585_2090","Without_Intervention","Cattle","Grazer",6,54100,41271,-18.3073907561092,-17.5494757835204
"Cluster","SSP585_2090","Without_Intervention","Donkeys","Grazer",6,221883,163726,-16.6850152603593,-15.8765787674436
"Cluster","SSP585_2090","Without_Intervention","Goats","Browser-Mixed",6,1005650,568757,-13.6280281420226,-12.1579950168255
"Cluster","SSP585_2090","Without_Intervention","Sheep","Grazer-Mixed",6,600586,406016,-16.2430614223339,-15.0373822338553
