"spatial_unit","unit_id","unit","species","feeding_regime","forage_profile","climate_scenario","Without_Intervention","With_Intervention","intervention_benefit_raw","intervention_benefit_pct","without_intervention_animals","with_intervention_animals","intervention_benefit_animals"
"Conservancy","Conservancy_7","Bamunu","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",7741.44919359865,8620.13770989195,878.688516293299,11.3504396182033,7741,8620,879
"Conservancy","Conservancy_8","Mashi","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1031.21355431751,1281.95999780255,250.746443485042,24.3156659874389,1031,1282,251
"Conservancy","Conservancy_8","Mashi","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",11626.1524054718,13112.2983462756,1486.1459408038,12.7827839251818,11626,13112,1486
"Conservancy","Conservancy_8","Mashi","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",21064.9649258136,20728.8650571952,-336.099868618363,-1.59553965459727,21065,20729,-336
"Conservancy","Conservancy_8","Mashi","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",4000.47297974036,4755.4799309845,755.006951244143,18.872942151284,4000,4755,755
"Conservancy","Conservancy_9","Ovitoto","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1440.96944803906,4717.90641290882,3276.93696486976,227.411966945529,1441,4718,3277
"Conservancy","Conservancy_9","Ovitoto","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",17933.8940447376,37355.9305088424,19422.0364641049,108.297932482789,17934,37356,19422
"Conservancy","Conservancy_9","Ovitoto","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",34418.5845303044,30026.1869032207,-4392.39762708369,-12.761703268815,34419,30026,-4392
"Conservancy","Conservancy_9","Ovitoto","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",6038.3481632113,15905.3283399935,9866.98017678223,163.405287507218,6038,15905,9867
"Conservancy","Conservancy_10","Salambala","Cattle","Grazer","Cattle_Grazer","SSP245_2050",3137.08519860629,3316.45706459729,179.371865990997,5.71778752042457,3137,3316,179
"Conservancy","Conservancy_10","Salambala","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",32961.0722876665,32988.2259603434,27.1536726768099,0.0823810355434655,32961,32988,27
"Conservancy","Conservancy_10","Salambala","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",44983.3788870581,42813.9869177461,-2169.39196931206,-4.82265232844971,44983,42814,-2169
"Conservancy","Conservancy_10","Salambala","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",11870.9623438378,12106.3332644096,235.37092057181,1.98274506947611,11871,12106,235
"Conservancy","Conservancy_11","Doro !nawas Area2","Cattle","Grazer","Cattle_Grazer","SSP245_2050",1623.72477695325,6174.30223727833,4550.57746032508,280.255467238959,1624,6174,4551
"Conservancy","Conservancy_11","Doro !nawas Area2","Sheep","Grazer-Mixed","Sheep_Grazer_Mixed","SSP245_2050",15681.7621104003,48200.673390559,32518.9112801587,207.367711939667,15682,48201,32519
"Conservancy","Conservancy_11","Doro !nawas Area2","Goats","Browser-Mixed","Goat_Browser_Mixed","SSP245_2050",21178.4342825665,36583.9429844199,15405.5087018534,72.7414902174087,21178,36584,15406
"Conservancy","Conservancy_11","Doro !nawas Area2","Donkeys","Grazer","Donkey_Grazer","SSP245_2050",7176.94142819232,21408.0320278753,14231.090599683,198.289072609408,7177,21408,14231
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Cattle","Grazer","Cattle_Grazer","SSP245_2050",36.477948678701,578.240533954172,541.762585275471,1485.17831977706,36,578,542
