"spatial_unit","unit_id","unit","climate_scenario","feeding_regime","livestock_species","mean_without_intervention_animals","mean_with_intervention_animals","mean_intervention_benefit_animals","median_intervention_benefit_animals","mean_intervention_benefit_pct","median_intervention_benefit_pct"
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Grazer-Mixed",1,471,4473,4003,4003,850.474604888068,850.474604888068
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Browser-Mixed",1,860,3106,2246,2246,261.194789025948,261.194789025948
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Grazer",2,176,1249,1073,1073,1049.51584916903,1049.51584916903
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Grazer-Mixed",1,430,4252,3822,3822,889.14495538885,889.14495538885
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Browser-Mixed",1,900,3187,2287,2287,254.141984054679,254.141984054679
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Grazer",2,184,1282,1097,1097,992.515458854506,992.515458854506
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Grazer-Mixed",1,459,4366,3907,3907,850.520022232927,850.520022232927
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Browser-Mixed",1,795,2873,2078,2078,261.202279441775,261.202279441775
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Grazer",2,162,1155,993,993,1049.5459466689,1049.5459466689
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Grazer-Mixed",1,398,3934,3536,3536,889.170453851018,889.170453851018
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Browser-Mixed",1,9174,8821,-352,-352,-3.84240858495969,-3.84240858495969
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Grazer",2,1508,1474,-34,-34,-1.57855856369705,-1.57855856369705
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Grazer-Mixed",1,6458,6250,-208,-208,-3.21858608093902,-3.21858608093902
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Browser-Mixed",1,9135,8944,-191,-191,-2.08675592740897,-2.08675592740897
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Grazer",2,1451,1585,133,133,10.0395453196526,10.0395453196526
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Grazer-Mixed",1,6278,6643,365,365,5.81216647256381,5.81216647256381
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","Browser-Mixed",1,9208,8700,-508,-508,-5.51194956930362,-5.51194956930362
