"species","feeding_regime","forage_profile","body_mass_kg","DMI_fraction","annual_demand_kg","species_usable_forage_kg","carrying_capacity_raw","capacity_method","total_area_ha","valid_area_ha","missing_area_ha","missing_area_pct","spatial_unit","unit_id","unit","climate_scenario","management_scenario","scenario_id","current_capacity_raw","capacity_change_from_current_raw","capacity_change_from_current_pct","carrying_capacity_animals","capacity_change_from_current_animals"
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,74820823.1134772,182212.050200249,"Forage-limited potential livestock carrying capacity",321886.404453505,321557.56463903,328.839814475563,0.10216020618636,"Conservancy","Conservancy_5","Omuramba ua Mbinda","Current","Current","Current",182212.050200249,0,0,182212,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,31618250.3335755,32083.4605109848,"Forage-limited potential livestock carrying capacity",321886.404453505,321557.56463903,328.839814475563,0.10216020618636,"Conservancy","Conservancy_5","Omuramba ua Mbinda","Current","Current","Current",32083.4605109848,0,0,32083,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,51565751.1384579,14270.3061127599,"Forage-limited potential livestock carrying capacity",588536.369163754,588536.369163754,0,0,"Conservancy","Conservancy_6","Otjombinde","Current","Current","Current",14270.3061127599,0,0,14270,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,80119606.2616454,175604.61646388,"Forage-limited potential livestock carrying capacity",588536.369163754,588536.369163754,0,0,"Conservancy","Conservancy_6","Otjombinde","Current","Current","Current",175604.61646388,0,0,175605,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,136786856.167226,333118.675597506,"Forage-limited potential livestock carrying capacity",588536.369163754,588536.369163754,0,0,"Conservancy","Conservancy_6","Otjombinde","Current","Current","Current",333118.675597506,0,0,333119,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,58577223.8823564,59439.0906974697,"Forage-limited potential livestock carrying capacity",588536.369163754,588536.369163754,0,0,"Conservancy","Conservancy_6","Otjombinde","Current","Current","Current",59439.0906974697,0,0,59439,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,8420653.92706011,2330.33179107793,"Forage-limited potential livestock carrying capacity",55600.4207861969,55188.267133703,412.153652493951,0.741277937587606,"Conservancy","Conservancy_7","Bamunu","Current","Current","Current",2330.33179107793,0,0,2330,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,10398053.5558754,22790.2543690419,"Forage-limited potential livestock carrying capacity",55600.4207861969,55188.267133703,412.153652493951,0.741277937587606,"Conservancy","Conservancy_7","Bamunu","Current","Current","Current",22790.2543690419,0,0,22790,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,11570097.9440856,28176.798646175,"Forage-limited potential livestock carrying capacity",55600.4207861969,55188.267133703,412.153652493951,0.741277937587606,"Conservancy","Conservancy_7","Bamunu","Current","Current","Current",28176.798646175,0,0,28177,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,8412225.06473766,8535.99702155014,"Forage-limited potential livestock carrying capacity",55600.4207861969,55188.267133703,412.153652493951,0.741277937587606,"Conservancy","Conservancy_7","Bamunu","Current","Current","Current",8535.99702155014,0,0,8536,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,4549085.67138721,1258.91398128884,"Forage-limited potential livestock carrying capacity",43225.798532418,43120.5301527285,105.268379689478,0.243531370763527,"Conservancy","Conservancy_8","Mashi","Current","Current","Current",1258.91398128884,0,0,1259,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,6070207.15925806,13304.56363673,"Forage-limited potential livestock carrying capacity",43225.798532418,43120.5301527285,105.268379689478,0.243531370763527,"Conservancy","Conservancy_8","Mashi","Current","Current","Current",13304.56363673,0,0,13305,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,9113374.63566756,22193.910832676,"Forage-limited potential livestock carrying capacity",43225.798532418,43120.5301527285,105.268379689478,0.243531370763527,"Conservancy","Conservancy_8","Mashi","Current","Current","Current",22193.910832676,0,0,22194,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,4661812.51570713,4730.40336449227,"Forage-limited potential livestock carrying capacity",43225.798532418,43120.5301527285,105.268379689478,0.243531370763527,"Conservancy","Conservancy_8","Mashi","Current","Current","Current",4730.40336449227,0,0,4730,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,5433802.98346388,1503.7506526813,"Forage-limited potential livestock carrying capacity",62543.5840889984,62543.5840889984,0,0,"Conservancy","Conservancy_9","Ovitoto","Current","Current","Current",1503.7506526813,0,0,1504,0
"Sheep","Grazer-Mixed","Sheep_Grazer_Mixed",50,0.025,456.25,8478884.41761535,18583.8562577871,"Forage-limited potential livestock carrying capacity",62543.5840889984,62543.5840889984,0,0,"Conservancy","Conservancy_9","Ovitoto","Current","Current","Current",18583.8562577871,0,0,18584,0
"Goats","Browser-Mixed","Goat_Browser_Mixed",45,0.025,410.625,14540106.4655876,35409.69611102,"Forage-limited potential livestock carrying capacity",62543.5840889984,62543.5840889984,0,0,"Conservancy","Conservancy_9","Ovitoto","Current","Current","Current",35409.69611102,0,0,35410,0
"Donkeys","Grazer","Donkey_Grazer",180,0.015,985.5,6186632.26940529,6277.65831497239,"Forage-limited potential livestock carrying capacity",62543.5840889984,62543.5840889984,0,0,"Conservancy","Conservancy_9","Ovitoto","Current","Current","Current",6277.65831497239,0,0,6278,0
"Cattle","Grazer","Cattle_Grazer",450,0.022,3613.5,13433650.582574,3717.62849939781,"Forage-limited potential livestock carrying capacity",92999.5541105006,92214.3134132722,785.240697228393,0.844348883969253,"Conservancy","Conservancy_10","Salambala","Current","Current","Current",3717.62849939781,0,0,3718,0
