"spatial_unit","unit_id","unit","climate_scenario","management_scenario","feeding_regime","livestock_species","mean_species_capacity_animals","median_species_capacity_animals","mean_change_from_current_pct","median_change_from_current_pct"
"Conservancy","Conservancy_10","Salambala","SSP245_2090","Without_Intervention","Grazer-Mixed",1,32143,32143,-12.8560525066093,-12.8560525066093
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Browser-Mixed",1,42823,42823,-7.78725113450548,-7.78725113450548
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Grazer",2,7553,7553,-12.9052733158989,-12.9052733158989
"Conservancy","Conservancy_10","Salambala","SSP585_2050","With_Intervention","Grazer-Mixed",1,32463,32463,-11.9869440082736,-11.9869440082736
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Browser-Mixed",1,45322,45322,-2.40684451952421,-2.40684451952421
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Grazer",2,7559,7559,-13.7486054655623,-13.7486054655623
"Conservancy","Conservancy_10","Salambala","SSP585_2050","Without_Intervention","Grazer-Mixed",1,33203,33203,-9.98197212365069,-9.98197212365069
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Browser-Mixed",1,40168,40168,-13.5041385321834,-13.5041385321834
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Grazer",2,7019,7019,-19.1268506224366,-19.1268506224366
"Conservancy","Conservancy_10","Salambala","SSP585_2090","With_Intervention","Grazer-Mixed",1,30261,30261,-17.9568158588069,-17.9568158588069
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Browser-Mixed",1,42668,42668,-8.12099281388889,-8.12099281388889
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Grazer",2,6869,6869,-21.8380475370343,-21.8380475370343
"Conservancy","Conservancy_10","Salambala","SSP585_2090","Without_Intervention","Grazer-Mixed",1,30509,30509,-17.2840454937721,-17.2840454937721
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Browser-Mixed",1,23782,23782,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Grazer",2,5116,5116,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","Current","Current","Grazer-Mixed",1,18409,18409,0,0
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Browser-Mixed",1,36584,36584,53.8321793218348,53.8321793218348
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Grazer",2,13791,13791,187.464260147609,187.464260147609
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","With_Intervention","Grazer-Mixed",1,48201,48201,161.836855024598,161.836855024598
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Browser-Mixed",1,21178,21178,-10.9465947478947,-10.9465947478947
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Grazer",2,4400,4400,-15.0621971355066,-15.0621971355066
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2050","Without_Intervention","Grazer-Mixed",1,15682,15682,-14.8131554312402,-14.8131554312402
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Browser-Mixed",1,34932,34932,46.8840384578147,46.8840384578147
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Grazer",2,13146,13146,173.99898689524,173.99898689524
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","With_Intervention","Grazer-Mixed",1,45955,45955,149.635380049405,149.635380049405
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Browser-Mixed",1,20016,20016,-15.8342341946408,-15.8342341946408
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Grazer",2,4139,4139,-20.2456266153524,-20.2456266153524
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP245_2090","Without_Intervention","Grazer-Mixed",1,14732,14732,-19.9709793628017,-19.9709793628017
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Browser-Mixed",1,35493,35493,49.2463131967884,49.2463131967884
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Grazer",2,13382,13382,178.925387963049,178.925387963049
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","With_Intervention","Grazer-Mixed",1,46768,46768,154.053991815526,154.053991815526
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Browser-Mixed",1,20542,20542,-13.6226666682899,-13.6226666682899
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Grazer",2,4271,4271,-17.548509159852,-17.548509159852
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2050","Without_Intervention","Grazer-Mixed",1,15219,15219,-17.3247798647769,-17.3247798647769
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Browser-Mixed",1,32363,32363,36.0851565674952,36.0851565674952
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Grazer",2,12179,12179,153.832900809856,153.832900809856
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","With_Intervention","Grazer-Mixed",1,42573,42573,131.266215696366,131.266215696366
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Browser-Mixed",1,18550,18550,-21.9987584120233,-21.9987584120233
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Grazer",2,3834,3834,-26.1184164946168,-26.1184164946168
"Conservancy","Conservancy_11","Doro !nawas Area2","SSP585_2090","Without_Intervention","Grazer-Mixed",1,13649,13649,-25.8539254712839,-25.8539254712839
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Browser-Mixed",1,1336,1336,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Grazer",2,297,297,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","Current","Current","Grazer-Mixed",1,890,890,0,0
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Browser-Mixed",1,3265,3265,144.443418477008,144.443418477008
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Grazer",2,1313,1313,436.650607635886,436.650607635886
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","With_Intervention","Grazer-Mixed",1,4473,4473,402.480051225752,402.480051225752
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Browser-Mixed",1,922,922,-30.9743666723126,-30.9743666723126
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Grazer",2,189,189,-45.225869968227,-45.225869968227
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2050","Without_Intervention","Grazer-Mixed",1,471,471,-47.1337741543419,-47.1337741543419
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Browser-Mixed",1,3106,3106,132.493223970593,132.493223970593
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Grazer",2,1249,1249,410.108732243016,410.108732243016
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","With_Intervention","Grazer-Mixed",1,4252,4252,377.63241271071,377.63241271071
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Browser-Mixed",1,860,860,-35.6321765888238,-35.6321765888238
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Grazer",2,176,176,-49.7672059044158,-49.7672059044158
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP245_2090","Without_Intervention","Grazer-Mixed",1,430,430,-51.7125968131795,-51.7125968131795
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Browser-Mixed",1,3187,3187,138.56051983653,138.56051983653
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Grazer",2,1282,1282,423.734453866807,423.734453866807
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","With_Intervention","Grazer-Mixed",1,4366,4366,390.386329085043,390.386329085043
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Browser-Mixed",1,900,900,-32.6370409107731,-32.6370409107731
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Grazer",2,184,184,-46.546480326165,-46.546480326165
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2050","Without_Intervention","Grazer-Mixed",1,459,459,-48.4086271078178,-48.4086271078178
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Browser-Mixed",1,2873,2873,115.078212599898,115.078212599898
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Grazer",2,1155,1155,371.901218143073,371.901218143073
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","With_Intervention","Grazer-Mixed",1,3934,3934,341.857365270652,341.857365270652
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Browser-Mixed",1,795,795,-40.4549127064498,-40.4549127064498
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Grazer",2,162,162,-53.5308800126191,-53.5308800126191
"Conservancy","Conservancy_12","Doro !nawas/Uibasen Twyfelfontein/Sorris Sorri JMA","SSP585_2090","Without_Intervention","Grazer-Mixed",1,398,398,-55.3305132042286,-55.3305132042286
"Conservancy","Conservancy_13","Kwandu","Current","Current","Browser-Mixed",1,9711,9711,0,0
"Conservancy","Conservancy_13","Kwandu","Current","Current","Grazer",2,1727,1727,0,0
"Conservancy","Conservancy_13","Kwandu","Current","Current","Grazer-Mixed",1,7216,7216,0,0
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Browser-Mixed",1,8821,8821,-9.16138501972171,-9.16138501972171
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Grazer",2,1474,1474,-14.571671893366,-14.571671893366
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","With_Intervention","Grazer-Mixed",1,6250,6250,-13.3889559192942,-13.3889559192942
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Browser-Mixed",1,9174,9174,-5.53152003548423,-5.53152003548423
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Grazer",2,1508,1508,-13.1913726689907,-13.1913726689907
"Conservancy","Conservancy_13","Kwandu","SSP245_2050","Without_Intervention","Grazer-Mixed",1,6458,6458,-10.5085981145727,-10.5085981145727
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","With_Intervention","Browser-Mixed",1,8944,8944,-7.89369511055611,-7.89369511055611
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","With_Intervention","Grazer",2,1585,1585,-8.32292624122438,-8.32292624122438
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","With_Intervention","Grazer-Mixed",1,6643,6643,-7.94525195993862,-7.94525195993862
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Without_Intervention","Browser-Mixed",1,9135,9135,-5.93069838319521,-5.93069838319521
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Without_Intervention","Grazer",2,1451,1451,-16.6710328894764,-16.6710328894764
"Conservancy","Conservancy_13","Kwandu","SSP245_2090","Without_Intervention","Grazer-Mixed",1,6278,6278,-13.0017358977992,-13.0017358977992
"Conservancy","Conservancy_13","Kwandu","SSP585_2050","With_Intervention","Browser-Mixed",1,8700,8700,-10.4085102330014,-10.4085102330014
