"PA_ID","PA","Cluster","Current_Percolation_m3","Mean_Without_Intervention_m3","Mean_With_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
44,"Sheya Shuushona","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",33607276.0942245,32831196.1792656,40357629.4849765,7526433.30571091,22.9246393113882
45,"!Khoro !goreb","Cluster E — Kunene (North)",5168289.04514647,4798451.99417076,6279272.21664255,1480820.22247178,30.8603738095266
46,"Otjimboyo","Cluster A — South, Kunene South & Erongo",1247370.66080239,1175500.90255852,1444116.93623172,268616.033673206,22.8511975693557
47,"Tsiseb","Cluster A — South, Kunene South & Erongo",21562996.1025409,20839035.7858601,24907974.4893235,4068938.70346343,19.5255612844829
48,"Sorris Sorris","Cluster E — Kunene (North)",6731811.67524267,6331139.65329464,7747860.33632398,1416720.68302935,22.3770246845227
49,"Okangundumba","Cluster E — Kunene (North)",7478700.49750219,7131738.23467316,8884600.73113822,1752862.49646506,24.5783347451394
50,"Sanitatas","Cluster E — Kunene (North)",5951209.02630795,6109247.42584862,7380890.89162667,1271643.46577805,20.8150591576573
51,"Epupa","Cluster E — Kunene (North)",17158096.9204011,17129540.7554865,21292666.52938,4163125.77389345,24.3037792625002
52,"Ongongo","Cluster E — Kunene (North)",2546991.48307356,2432044.22709757,2984880.46177276,552836.234675192,22.7313396901072
53,"Otjiu-West","Cluster E — Kunene (North)",5482220.01931327,5200240.62783976,6389857.35529204,1189616.72745228,22.876186172686
54,"Marienfluss","Cluster E — Kunene (North)",11265604.363645,11666033.4994469,13958641.9850405,2292608.48559363,19.6519964193685
55,"Puros","Cluster E — Kunene (North)",13213816.1358704,13579941.5634236,16065258.8605769,2485317.29715339,18.3013843288353
56,"Okondjombo","Cluster E — Kunene (North)",8165677.63003254,8013088.05797239,9746831.59447123,1733743.53649883,21.6363969041111
57,"Otjikongo","Cluster E — Kunene (North)",5225330.65073723,5005137.47358776,6113050.75776608,1107913.28417832,22.1355215521014
58,"Kunene River","Cluster E — Kunene (North)",16565518.5808323,16051722.0920107,20181495.1341026,4129773.0420919,25.7279126714223
59,"Ombazu","Cluster E — Kunene (North)",5329179.56640525,5112117.74221796,6455184.27836318,1343066.53614522,26.2722144494762
60,"Ombombo","Cluster E — Kunene (North)",9406281.25405122,9158518.5139964,11462564.6708504,2304046.156854,25.1574111395076
61,"Otjikondavirongo","Cluster E — Kunene (North)",5168622.45558702,4921522.76592578,5953277.55707656,1031754.79115078,20.964137325426
62,"Ombujokanguindi","Cluster E — Kunene (North)",6732275.87876767,6339973.8664891,7803666.27974529,1463692.41325619,23.086726287513
63,"Otuzemba","Cluster E — Kunene (North)",4718444.81066565,4556840.43568728,5679374.97349729,1122534.53781001,24.6340540919269
64,"Etanga","Cluster E — Kunene (North)",4943877.88908736,4854879.85409078,5979763.29144999,1124883.43735921,23.1701601515715
65,"Eiseb","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",49442957.7687434,46360377.2577255,57394313.0267076,11033935.7689821,23.8003580247901
66,"Otjambangu","Cluster E — Kunene (North)",2214890.78791184,2080536.24446955,2558822.11231742,478285.867847872,22.9885861935472
67,"Sikunga","Cluster C — Kavango East, Kavango West & Zambezi",3477919.59202994,3286366.59829885,4319129.53674418,1032762.93844533,31.4256765809367
68,"Okongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",16855356.7820318,16188451.408394,19820570.9276926,3632119.51929858,22.4364852923193
69,"Okatjandja Kozomenje","Cluster E — Kunene (North)",4167290.1076671,3995716.18694436,5080557.97161679,1084841.78467243,27.1501211276479
70,"Otjombande","Cluster E — Kunene (North)",2227068.88200545,2138788.9633052,2678755.98147918,539967.018173981,25.2463907116641
71,"Sobbe","Cluster C — Kavango East, Kavango West & Zambezi",4270301.46915992,4012858.35244353,4882518.27483542,869659.922391885,21.6718320461605
72,"Balyerwa","Cluster C — Kavango East, Kavango West & Zambezi",2323736.12532622,2187240.48284667,2782084.53833507,594844.055488394,27.1960975555011
73,"Wuparo","Cluster C — Kavango East, Kavango West & Zambezi",1960623.21388034,1847038.42361421,2316132.36189682,469093.93828261,25.397086074945
74,"Dzoti","Cluster C — Kavango East, Kavango West & Zambezi",2994750.35656733,2824540.40510783,3537964.60840946,713424.203301626,25.258063294527
75,"Huibes","Cluster F —    //Karas,Hardap",4874495.28863016,4478222.11339509,5798242.72352467,1320020.61012958,29.4764434792366
76,"Kabulabula","Cluster C — Kavango East, Kavango West & Zambezi",1053037.27801437,1009728.86477916,1358480.4841634,348751.619384247,34.5391353609093
77,"Okongoro","Cluster E — Kunene (North)",6059241.18068143,5873937.84174481,7314679.73046392,1440741.88871911,24.527700624955
78,"Lusese","Cluster C — Kavango East, Kavango West & Zambezi",2561094.4063408,2428808.77403809,3195079.15446985,766270.380431764,31.5492264612408
79,"Nakabolelwa","Cluster C — Kavango East, Kavango West & Zambezi",1364191.52579804,1304605.12996991,1754301.98637776,449696.856407853,34.4699592295966
80,"Ohungu","Cluster A — South, Kunene South & Erongo",4117256.88169538,3854598.05078986,4948092.54367034,1093494.49288048,28.3685738038603
81,"Maurus Nekaro","Cluster C — Kavango East, Kavango West & Zambezi",12086798.0727733,11678194.2986843,14089118.2798952,2410923.98121098,20.6446640597735
82,"Kapinga kaMwalye","Cluster C — Kavango East, Kavango West & Zambezi",13491570.2328564,12990350.6099957,15723941.5051805,2733590.8951848,21.0432418435371
83,"Otjindjerese","Cluster E — Kunene (North)",4590984.94130464,4460145.16415783,5588308.96868988,1128163.80453205,25.2943292877122
84,"Nyae Nyae","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",76447251.646926,72776666.3871077,91385216.9850376,18608550.5979299,25.5693912921881
85,"Ekango Lyomongwa","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",11307317.7754014,11062094.4861871,13621209.9653018,2559115.47911468,23.1340952864774
86,"#Khoadi-//HÃ´as","Cluster E",15138728.7965827,14251817.4166495,18204933.0745439,3953115.65789438,27.7376249100427
87,"Joseph Mbambangandu","Cluster C",421199.102624365,404808.772435134,488856.497612723,84047.7251775889,20.7623280177449
88,"Impalila","Cluster C",877233.994570798,840664.447060432,1107550.17910501,266885.73204458,31.7469988147833
89,"Kasika","Cluster C",1785627.71672175,1702840.99408183,2296045.78761473,593204.793532903,34.8361823326175
90,"!Gawachab","Cluster F",259964.228465448,228855.37138465,267658.522638057,38803.1512534074,16.9553159354031
