"PA_ID","PA","Cluster","Current_Percolation_m3","SSP245_2050_With_Intervention_m3","SSP245_2050_Without_Intervention_m3","SSP245_2090_With_Intervention_m3","SSP245_2090_Without_Intervention_m3","SSP585_2050_With_Intervention_m3","SSP585_2050_Without_Intervention_m3","SSP585_2090_With_Intervention_m3","SSP585_2090_Without_Intervention_m3","Mean_With_Intervention_m3","Mean_Without_Intervention_m3","Intervention_Change_m3","Intervention_Change_pct"
23,"Uukolonkadhi Ruacana","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",20193876.8151837,25387707.7265899,20561401.3387524,24423409.0357435,19779945.4141809,24377150.771316,19742098.8312869,23901369.6910249,19356846.1625821,24522409.3061686,19860072.9367006,4662336.369468,23.4759277286047
24,"Uukwaluudhi","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",9420925.95940188,11700697.4807615,9557930.52352697,11259093.1278272,9197845.17277073,11204734.256691,9152829.15497957,10945597.3010028,8941679.01928739,11277530.5415706,9212570.96764117,2064959.57392947,22.4145852572813
25,"Okamatapati","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",26463517.6657022,32032400.0837588,25807477.7518232,30951328.6137424,24936889.1866094,30981668.5927165,24960921.2916412,29683862.6877108,23915585.8749055,30912314.9944821,24905218.5262448,6007096.46823731,24.1198303958149
26,"Otjituuo","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",51998193.0003045,63449420.9104804,51088418.6372892,61281383.6638548,49342768.5738899,61180477.0042312,49261467.3734974,59059815.5335249,47554008.6362528,61242774.2780228,49311665.8052323,11931108.4727905,24.1953060760818
27,"Ozonahi","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",25179078.4452768,30659786.3019648,24649406.1846214,29539260.3738916,23748676.7292859,29641392.0482529,23830655.0789425,28334598.4298752,22780194.8511534,29543759.2884961,23752233.2110008,5791526.07749531,24.3830802183812
28,"N#a Jaqna","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",80147830.9632458,98533743.7090725,79049155.0909727,95831739.2576187,76881562.154254,95068619.842446,76269045.2755491,91954912.8338084,73771639.0931453,95347253.9107364,76492850.4034803,18854403.5072562,24.6485827208739
29,"!Han /Awab","Cluster F —    //Karas,Hardap",5204651.67415202,6147255.1986721,4868205.12808047,5887125.38611771,4661930.99332544,5819767.67696627,4608933.74231516,5147298.57955662,4075988.17110949,5750361.71032817,4553764.50870764,1196597.20162053,26.2770988559557
30,"!Khob !naub","Cluster F —    //Karas,Hardap",8543612.57261039,10100410.5357997,8069862.12049875,9761580.31423837,7800850.13481429,9737581.83177626,7779362.96737426,8766730.09867704,7005588.30754761,9591575.69512285,7663915.88255873,1927659.81256413,25.1524134933556
31,"Anabeb","Cluster A — South, Kunene South & Erongo",6757291.17717175,8234271.10200419,6819548.35722185,7682546.1005661,6362889.08878154,7935455.34974797,6572176.57181406,7242184.72904295,5998112.63452483,7773614.3203403,6438181.66308557,1335432.65725473,20.7423885677484
32,"Ozondundu","Cluster A — South, Kunene South & Erongo",4935803.9073179,6002671.65000342,4926587.07526792,5626588.05588051,4617801.93308557,5753895.44803461,4722409.50269787,5337127.93390797,4380263.33499599,5680070.77195663,4661765.46151184,1018305.31044479,21.8437696802222
33,"Sesfontein","Cluster A — South, Kunene South & Erongo",9140785.18815599,11492285.8696291,9817223.16371133,10677155.2178334,9121128.46691026,11125096.9759468,9503965.44355837,10005100.5094195,8546962.11876146,10824909.6432072,9247319.79823536,1577589.84497185,17.0599685032294
34,"George Mukoya","Cluster C — Kavango East, Kavango West & Zambezi",5019835.18167582,5914463.15957213,4887548.97666969,5864228.63846433,4845323.85667255,5850793.11378316,4834937.69067435,5643983.05665355,4663344.09449174,5818366.99211829,4807788.65462708,1010578.33749121,21.019608183455
35,"Muduva Nyangana","Cluster C — Kavango East, Kavango West & Zambezi",6507988.14686266,7637496.56895698,6305159.84901632,7580613.70473915,6258520.85525624,7573762.71181201,6252570.31371202,7287751.87717136,6016737.85019359,7519906.21566988,6208247.21704454,1311658.99862533,21.1276863302772
36,"Shamungwa","Cluster C — Kavango East, Kavango West & Zambezi",589549.038169012,686103.708622758,566486.234550512,680898.939206598,562188.811202067,682206.358753216,563269.017944296,655032.10181414,540831.50173778,676060.277099178,558193.891358664,117866.385740514,21.1156710177575
37,"King Nehale","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",4601999.33341663,5843188.22314378,4590063.17719465,5698540.1105962,4472937.08039056,5629098.61440647,4415650.62202416,5598416.44065321,4391659.4675703,5692310.84719992,4467577.58679492,1224733.260405,27.4138106526681
38,"Doro !nawas Area1","Cluster E — Kunene (North)",7409766.79936436,9662046.56633954,8070887.79191239,9015489.00909194,7531577.75769286,9449333.37181133,7893582.53458154,8189019.74744982,6841379.17168744,9078972.17367316,7584356.81396856,1494615.3597046,19.7065538497856
39,"African Wild Dog","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",31259124.0698931,37909261.9607542,30467050.8967901,36564525.1855383,29386632.3646846,36721997.4673279,29513032.2001052,34925558.9228191,28069002.688768,36530335.8841099,29358929.537587,7171406.34652292,24.4266615284514
40,"Torra","Cluster E — Kunene (North)",12568869.3424066,15983769.8301272,13211040.1626627,14893879.9776851,12311349.96756,15572293.8817318,12871596.2351743,13685971.1585054,11311416.8043095,15033978.7120124,12426350.7924266,2607627.91958574,20.9846636646938
41,"Ondjou","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",69284883.976561,83996099.7491782,67723721.5029441,81666685.9645791,65844339.0867772,81062951.5788202,65358668.397811,77802091.7202152,62728524.3961185,81131957.2531982,65413813.3459127,15718143.9072855,24.0287839881262
42,"#Gaingu","Cluster A — South, Kunene South & Erongo",148285.246011389,185009.828892105,144843.165204847,172150.031396283,134783.092434358,178172.461647383,139489.409225776,152293.874828127,119231.962003336,171906.549190975,134586.907217079,37319.6419738951,27.7290285850028
43,"#Gaingu","Cluster A — South, Kunene South & Erongo",20620249.4336363,25493366.7167568,20957967.5638615,23762641.8487466,19531278.9742723,24808620.200369,20396884.159486,21088674.3961753,17328750.0759723,23788325.7905119,19553720.193398,4234605.59711392,21.6562656887341
44,"Sheya Shuushona","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",33607276.0942245,41935801.542681,34119871.4440407,40376238.956406,32843231.5847098,40122829.6245769,32638846.1279258,38995647.8162422,31722835.5603861,40357629.4849765,32831196.1792656,7526433.30571091,22.9246393113882
45,"!Khoro !goreb","Cluster E — Kunene (North)",5168289.04514647,6668006.12562229,5095713.83335117,6288336.02070667,4805215.21239172,6382355.3319778,4877372.41726296,5778391.38826342,4415506.51367721,6279272.21664255,4798451.99417076,1480820.22247178,30.8603738095266
46,"Otjimboyo","Cluster A — South, Kunene South & Erongo",1247370.66080239,1536592.11252157,1250447.26833687,1440678.27733896,1173020.12422098,1489186.42592935,1211931.83706344,1310010.92913701,1066604.38061278,1444116.93623172,1175500.90255852,268616.033673206,22.8511975693557
47,"Tsiseb","Cluster A — South, Kunene South & Erongo",21562996.1025409,26571598.7583224,22229691.7144613,24746746.8539991,20704941.7914947,26046107.1355726,21792748.3591405,22267445.2094,18628761.2783439,24907974.4893235,20839035.7858601,4068938.70346343,19.5255612844829
48,"Sorris Sorris","Cluster E — Kunene (North)",6731811.67524267,8250679.53819959,6742279.65361596,7714859.93044625,6303719.79735864,7990452.84727962,6530765.67313885,7035449.02937048,5747793.4890651,7747860.33632398,6331139.65329464,1416720.68302935,22.3770246845227
49,"Okangundumba","Cluster E — Kunene (North)",7478700.49750219,9338208.14896611,7495933.45997905,8796137.79909072,7060713.5159157,8949675.64642986,7184038.99559046,8454381.33006618,6786266.96720741,8884600.73113822,7131738.23467316,1752862.49646506,24.5783347451394
50,"Sanitatas","Cluster E — Kunene (North)",5951209.02630795,7762069.04382844,6424766.47956849,7183167.72550324,5945799.56514062,7566535.50604698,6263189.8406705,7011791.291128,5803233.81801487,7380890.89162667,6109247.42584862,1271643.46577805,20.8150591576573
51,"Epupa","Cluster E — Kunene (North)",17158096.9204011,22119616.0892247,17794759.5746663,20901270.0567578,16814767.1611722,21420379.8613254,17231918.2617502,20729400.110212,16676718.0243574,21292666.52938,17129540.7554865,4163125.77389345,24.3037792625002
52,"Ongongo","Cluster E — Kunene (North)",2546991.48307356,3128997.94437466,2549324.16675141,2946455.24673414,2400878.52277289,3011456.54961353,2453555.92391291,2852612.10636873,2324418.29495308,2984880.46177276,2432044.22709757,552836.234675192,22.7313396901072
53,"Otjiu-West","Cluster E — Kunene (North)",5482220.01931327,6714492.49487093,5464455.46134832,6292584.50609482,5121044.71526127,6466221.17435629,5262412.65190144,6086131.24584612,4953049.68284802,6389857.35529204,5200240.62783976,1189616.72745228,22.876186172686
54,"Marienfluss","Cluster E — Kunene (North)",11265604.363645,14581103.6269421,12185481.1547424,13446656.2499721,11237919.4495631,14383934.1566867,12021944.047785,13422873.906561,11218789.3456969,13958641.9850405,11666033.4994469,2292608.48559363,19.6519964193685
55,"Puros","Cluster E — Kunene (North)",13213816.1358704,16990350.8579421,14361898.4542392,15792566.9057724,13349292.4458209,16527621.4768517,13971180.8016057,14950496.2017416,12637394.5520284,16065258.8605769,13579941.5634236,2485317.29715339,18.3013843288353
56,"Okondjombo","Cluster E — Kunene (North)",8165677.63003254,10272273.568282,8445268.32100084,9545585.99502089,7847509.30956472,9955520.38573673,8185041.2808855,9213946.42884533,7574533.32043852,9746831.59447123,8013088.05797239,1733743.53649883,21.6363969041111
57,"Otjikongo","Cluster E — Kunene (North)",5225330.65073723,6455794.60197806,5285363.02654667,6010532.00183124,4921647.91819793,6228616.22179533,5099362.62775959,5757260.2054597,4714176.32184685,6113050.75776608,5005137.47358776,1107913.28417832,22.1355215521014
58,"Kunene River","Cluster E — Kunene (North)",16565518.5808323,20991920.1641146,16696328.363775,19957886.1083643,15873393.2294941,20178758.8461879,16049846.509139,19597415.4177435,15587320.2656345,20181495.1341026,16051722.0920107,4129773.0420919,25.7279126714223
59,"Ombazu","Cluster E — Kunene (North)",5329179.56640525,6737770.1944426,5336151.62618013,6371498.48796559,5045660.27919552,6476545.14933335,5129245.88172324,6234923.28171118,4937413.18177292,6455184.27836318,5112117.74221796,1343066.53614522,26.2722144494762
60,"Ombombo","Cluster E — Kunene (North)",9406281.25405122,11918760.1535478,9523344.93136067,11360653.1315385,9076870.02968309,11449107.1712596,9148029.8949551,11121738.2270558,8885829.19998675,11462564.6708504,9158518.5139964,2304046.156854,25.1574111395076
61,"Otjikondavirongo","Cluster E — Kunene (North)",5168622.45558702,6300890.22722948,5208962.55319902,5872428.69614589,4854536.08546402,6062629.61413462,5012127.38957073,5577161.69079624,4610465.03546933,5953277.55707656,4921522.76592578,1031754.79115078,20.964137325426
62,"Ombujokanguindi","Cluster E — Kunene (North)",6732275.87876767,8228047.75051261,6684399.84405767,7708314.26365564,6262860.86762633,7888691.92689729,6408769.0619006,7389611.17791562,6003865.69237179,7803666.27974529,6339973.8664891,1463692.41325619,23.086726287513
63,"Otuzemba","Cluster E — Kunene (North)",4718444.81066565,5935496.08882562,4762283.91440967,5650822.16322754,4534014.2694273,5679991.28274195,4557257.20949638,5451190.35919404,4373806.34941578,5679374.97349729,4556840.43568728,1122534.53781001,24.6340540919269
64,"Etanga","Cluster E — Kunene (North)",4943877.88908736,6247862.40217095,5072468.01848225,5841269.07538587,4742526.65903773,6052597.29433163,4913935.49741773,5777324.39391153,4690589.24142541,5979763.29144999,4854879.85409078,1124883.43735921,23.1701601515715
65,"Eiseb","Cluster B — Omaheke & Otjozondjupa (Central / Group 4)",49442957.7687434,59401352.8760022,47981427.2496406,57740081.2369396,46639817.1393933,57550289.9777157,46486238.2694939,54885528.0161727,44334026.3723742,57394313.0267076,46360377.2577255,11033935.7689821,23.8003580247901
66,"Otjambangu","Cluster E — Kunene (North)",2214890.78791184,2708598.18097135,2202345.73939824,2532702.5558036,2059265.41476877,2592622.5490715,2108048.35992877,2401365.16342322,1952485.4637824,2558822.11231742,2080536.24446955,478285.867847872,22.9885861935472
67,"Sikunga","Cluster C — Kavango East, Kavango West & Zambezi",3477919.59202994,4292278.93691981,3266708.7098536,4343003.9284358,3303800.98914374,4412184.24271935,3357893.82165593,4229051.03890176,3217062.87254213,4319129.53674418,3286366.59829885,1032762.93844533,31.4256765809367
68,"Okongo","Cluster D — Omusati, Oshana, Oshikoto & Ohangwena",16855356.7820318,20186606.4004261,16489298.8565806,19961991.2279517,16301955.2677925,19707737.5870378,16098320.6368583,19425948.4953549,15864230.8723448,19820570.9276926,16188451.408394,3632119.51929858,22.4364852923193
